merchant_raw,description_raw,amount,direction,provider,native_category,source,provenance,haiku_leaf,sonnet_leaf,gold_leaf,notes
Bookplanet,www.bookplanet247.,9.95,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche3_review,,,books,
Cd Hi5 Retail,9889 19JUL25 CD   HI5 RETAIL        WIRRAL GB,9.04,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche2_review,,,convenience_store,"Hi5 Retail Ltd (SIC 47110) is a Wirral food/tobacco shop, not general merchandise retail_other."
Cd Megapos,1180 09AUG25 CD   MEGAPOS LTD       BLACKBURN GB,1,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche2_review,,,payment_intermediary,"Mega POS Ltd is an Electronic Point of Sale (EPOS) software and hardware provider based in Blackburn, UK (Company #13784099)."
Cream Carousel,Cream Carousel,7.6,debit,plaid,ENTERTAINMENT_CASINOS_AND_GAMBLING,already_verified,production_tranche3_review,,,restaurant_cafe,
Dionne Boughen Nat Bonus Ball Via,DIONNE BOUGHEN    NAT BONUS BALL    VIA MOBILE - PYMT,200,debit,plaid,TRANSFER_OUT_OTHER,already_verified,production_tranche3_review,,,gambling_unspecified,
Gamesys,Gamesys Operation Limited                NV2YXROBGB3928756,10,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_tail_human_verified,,,gambling_unspecified,
Lbs Play Service,LBS PLAY SERVICE  PSJOSEPH,128,debit,plaid,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,already_verified,production_tranche3_review,,,gambling_unspecified,
Beryl,Beryl,1,debit,plaid,TRANSFER_OUT_OTHER,already_verified,gold_head_adjudicated,,,bicycle,
Sigma Sports,Sigma Sports - Hampton,11.97,debit,plaid,ENTERTAINMENT_EVENTS_AND_TICKETS,already_verified,gold_head_adjudicated,,,bicycle,
The Bike Club,THE BIKE CLUB LTD NXSH7ED,13.99,debit,plaid,TRAVEL_AND_TRANSPORTATION_PUBLIC_TRANSIT,already_verified,gold_head_adjudicated,,,bicycle,
Best Meat,CARD PAYMENT TO BEST MEAT UK ON 04-08-2025,50.99,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Delikatesy Smaczek,DELIKATESY SMACZEK,14.11,debit,plaid,DINING_OTHER_DINING,already_verified,gold_head_adjudicated,,,groceries_specialist,
Europa Delikatesy,EUROPA DELIKATESY,2.25,debit,plaid,DINING_OTHER_DINING,already_verified,gold_head_adjudicated,,,groceries_specialist,
Huel,WWW.HUEL.COM,36.49,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Infinity Foods, Infinity Foods,11.8,debit,plaid,FOOD_RETAIL_GROCERIES,already_verified,gold_head_adjudicated,,,groceries_specialist,
Allpay,A03895420 Allpay,40.0,debit,equifax,,new,,school_fees,rent,rent,"Allpay payment; recurring reference matches housing-payment pattern, although payee is not shown."
Amazon Services,Amazon Uk Services AMAZON UK SERVICES,794.55,credit,equifax,Identified Salary | Amazon,new,,employee_benefits,salary,salary,Credit is identified as salary and Amazon is a plausible employer.
Audible,Zilch * Audible Uk Zilch *      Audible Uk,7.99,debit,equifax,"Books, Newspapers and Magazines | General Books",new,,streaming,books,books,£7.99 Audible charge is consistent with an audiobook subscription.
Loveholidays.com,Loveholidays      London,260.95,debit,equifax,Flights and Holidays | Hotels and Accommodation,new,,holiday_package,holiday_package,holiday_package,
DVSA,DVSA  ON 09 SEP BCC,75.0,debit,equifax,Education and Learning | Driving Tuition,new,,driving_tuition,driving_tuition,driving_tuition,
Post Office,Cash Deposit at 26 The Broadway Woodford Green IG8 0HQ GB Post Office Banking Services,150.0,credit,equifax,Cash Deposit | Delivery,new,,cash_deposit,cash_deposit,cash_deposit,
MetLife,METLIFE EUROPE,27.0,debit,equifax,,new,,insurance_general,insurance_life,insurance_life,MetLife is primarily a life and protection insurer.
Universal Credit,204M46U31 DWP UC,214.36,credit,equifax,,new,,benefits_state,benefits_state,benefits_state,
Aldi,8469 05APR25 C    ALDI 119 775      ANDOVER GB,13.96,debit,equifax,Shopping (Household Essentials) | General Groceries,new,,groceries,groceries,groceries,
AA,AA MEMBERSHIP,2.0,debit,equifax,Automotive | Breakdown Cover,new,,breakdown_cover,breakdown_cover,breakdown_cover,
HMRC,HMRC SA  2377880224K00002 BGC,116.38,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
Sky,Sky Store,3.49,debit,equifax,"Utilities | Internet, TV and Phone",new,,streaming,streaming,streaming,
Carers Allowance,Bank credit JH568960A DWP CA 607080 10025723,76.75,credit,equifax,,new,,benefits_state,benefits_state,benefits_state,
HMRC,"STANDING ORDER VIA FASTER PAYMENT TO HMRC CUMBERNAULD REFERENCE 1532779870 , MANDATE NO 0131",100.0,debit,equifax,,new,,tax_payment,tax_payment,tax_payment,
Roblox,ROBLOX PAYPAL *ROBLOXCORPO    8888582569    USA,19.99,debit,equifax,Misc Card Spend | Foreign,new,,gaming_online,gaming_online,gaming_online,
Post Office,Cash Deposit at C O Rame Cross Post Off Penryn TR10 9EB GB Post Office Banking Services,320.0,credit,equifax,Cash Deposit | Delivery,new,,cash_deposit,cash_deposit,cash_deposit,
Lowell Financial,LOWELL PORTFOLIO 1,1.0,debit,equifax,Financial Services | Debt Collection,new,,debt_collection,debt_collection,debt_collection,
Complete Savings,9674 29SEP23      COMPLETESAVE.CO.UK08003896960 CH,15.0,debit,equifax,,new,,savings_transfer,unclassified_recurring,memberships,Complete Savings is a paid cashback-membership service.
Lloyds,CLUB LLOYDS MONTHL,200.0,debit,equifax,Rent and Mortgage | Mortgages,new,,account_charge,mortgage,savings_transfer,"£200 Club Lloyds Monthly entry is consistent with the monthly saver, not a mortgage."
Revolut,SHAUNNAH GIBBS SENT FROM REVOLUT REV************4729,15.0,credit,equifax,Own Transfers | Bank Transfer,new,,transfer_p2p,transfer_p2p,transfer_p2p,
ASDA,Visa credit ASDA GROCERIES ONLINE,6.5,credit,equifax,Refund | General Groceries,new,,refund_received,groceries,refund_received,Credit explicitly described as an ASDA refund.
Save The Change,SAVETHECHANGE-4361,1.66,debit,equifax,,new,,savings_transfer,savings_transfer,savings_transfer,
Vue Cinemas,Vue Cinemas,23.18,debit,equifax,Entertainment | Cinema,new,,cinema,cinema,cinema,
Allpay,ALLPAY *NORTH STAR ALLPAY *NORTH STAR HOUSIN,110.0,debit,equifax,,new,,rent,rent,rent,
Optimum Nutrition,Optimum Nutrition,11.23,debit,equifax,Personal Healthcare | Supplements,new,,supplements,supplements,supplements,
Post Office,Cash Deposit at 45 Robert Street Pontypridd CF37 3DY GB Post Office Banking Services,20.0,credit,equifax,Cash Deposit | Delivery,new,,cash_deposit,cash_deposit,cash_deposit,
Hilton,HAMPTON BY HILTON,158.0,debit,equifax,Flights and Holidays | Hotels and Accommodation,new,,accommodation,accommodation,accommodation,
sQuid,squidcard*sQuidcar  ON 31 OCT BCC,3.0,debit,equifax,Education and Learning | School Fees,new,,school_fees,school_fees,prepaid_card,
tiktok,TIKTOK SHOP SELLER  ON 28 MAR CPM,25.11,debit,equifax,Services | Web Services,new,,online_services,online_services,marketplace_general,Narrative explicitly identifies a TikTok Shop seller transaction.
Havens,4965 16AUG23 C    HAVENS HOSPICES   WESTCLIFF-ON- GB,2.0,debit,equifax,Shopping (Home) | Kitchens and Kitchen Accessories,new,,charitable_donation,charitable_donation,charitable_donation,
Post Office,Cash Deposit at Newburn Road Newcastle Upon NE15 9AB GB Post Office Banking Services,300.0,credit,equifax,Cash Deposit | Delivery,new,,cash_deposit,cash_deposit,cash_deposit,
HMRC,HMRC SA,2010.24,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
DVSA,DVSA  ON 12 SEP BCC,62.0,debit,equifax,Education and Learning | Driving Tuition,new,,driving_tuition,driving_tuition,driving_tuition,
DVLA,DVLA-LJ09JWP,17.5,debit,equifax,Automotive | Road Tax,new,,road_tax,road_tax,road_tax,
Birmingham Midshires Mortgages,BHAM MIDSHIRES,344.69,debit,equifax,Rent and Mortgage | Mortgages,new,,mortgage,mortgage,mortgage,
888 Games,UK regulated Lim CD 6001,20.0,debit,equifax,Gambling and Betting | Poker and Casino Games,new,,gambling_casino,gambling_casino,gambling_casino,
Pets at Home,Pets at Home PETS AT HOME LTD       BEDFORD       GBR,15.88,debit,equifax,Pets | Pet Accessories,new,,pet_supplies,pet_supplies,pet_supplies,
sQuid,Visa purchase squidcard*sQuidcard,5.0,debit,equifax,Education and Learning | School Fees,new,,school_fees,school_fees,prepaid_card,
M&Co,zilch m.uergo.co.uk ZILCH m.uergo.co.uk    GB            GBR,9.99,debit,equifax,Shopping (Fashion) | General Fashion,new,,bnpl,clothing_general,clothing_general,Underlying M&Co retail purchase is clear despite the Zilch descriptor.
Exeter City Council,ZETTLE_*EXETER CIT ZETTLE_*EXETER CITY AF,6.5,debit,equifax,Utilities | Council,new,,council_tax,council_tax,unclassified_card_spend,£6.50 Zettle card-reader tap. Council tax is not collected this way; function cannot be identified so unclassified_card_spend is honest.
Toby Carvery,Crv*toby Carvery Knowl Crv*toby Carvery - Kno,33.88,debit,equifax,"Restaurants and takeaway | Restaurants, Cafes and Bistros",new,,restaurant_cafe,restaurant_cafe,restaurant_cafe,
Specsavers,SPECSAVERS,39.0,debit,equifax,Personal Healthcare | Glasses and Contact Lenses,new,,optician,optician,optician,
LOYALTY REWARD,MYREWARDS,5.0,credit,equifax,,new,,cashback,cashback,cashback,
Revolut,Revolut Revolut**3865*         London        GBR,15.77,debit,equifax,Transfers / Other | Bank Transfer,new,,transfer_own_account,transfer_own_account,transfer_own_account,
Pure Gym,Direct debit PURE GYM LTD ************1412,33.5,debit,equifax,Personal Healthcare | Gyms And Health Clubs,new,,gym_fitness,gym_fitness,gym_fitness,
Marketplace,CARD PAYMENT TO AMZNMKTPLACE ON 23-07-2023,79.65,debit,equifax,Amazon All | Amazon,new,,marketplace_amazon,marketplace_amazon,marketplace_amazon,
Post Office,Post Office POST OFFICE COUNTER    DENNY         GBR,8.65,debit,equifax,Services | Delivery,new,,government_services,government_services,delivery_courier,Post Office counter purchase is most consistent with postal/delivery services.
Halifax,HALIFAX,429.44,debit,equifax,Rent and Mortgage | Mortgages,new,,mortgage,mortgage,mortgage,
takeaway.je,WWW.TAKEAWAY.JE  ON 03 OCT BCC,13.35,debit,equifax,Restaurants and takeaway | Take Away,new,,takeaway,takeaway,takeaway,
DVSA,DVSA  ON 27 APR BCC,75.0,debit,equifax,Education and Learning | Driving Tuition,new,,driving_tuition,driving_tuition,driving_tuition,
Hilton,DoubleTree by Hilton DOUBLETREE BY HILTON O ORLANDO       USA,13.01,debit,equifax,Misc Card Spend | Foreign,new,,accommodation,accommodation,accommodation,
HMRC,HMRC SA,5657.47,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
Lidl,LIDL GB  ROYTON,43.99,debit,equifax,Shopping (Household Essentials) | General Groceries,new,,groceries,groceries,groceries,
HMRC,HMRC SA,3023.2,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
TFL,TFL TRAVEL CH,4.2,debit,equifax,Commuting and travel | Trains and Coaches,new,,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,
Sky Bet,2103 07OCT24      SKY BET           3300244777 GB,10.0,debit,equifax,Gambling and Betting | Betting,new,,gambling_betting,gambling_betting,gambling_betting,
Admiral Insurance,ADMIRAL INSURANCE,513.07,debit,equifax,Insurance | Motor Insurance,new,,insurance_motor,insurance_general,insurance_general,Native category and merchant support motor insurance.Admiral is multi-line. Taxonomy reserves insurance_motor for motor-only brands (e.g. Swiftcover). Gold merchant set already has admiral → insurance_general.
Sky,"DIRECT DEBIT PAYMENT TO SKY TV REF ************4307, MANDATE NO 0012",17.0,debit,equifax,"Utilities | Internet, TV and Phone",new,,broadband_tv_phone,broadband_tv_phone,broadband_tv_phone,
LayBuy,CARD PAYMENT TO LAYBUY* AMAZON ON 05-09-2023,7.33,debit,equifax,Financial Services | BNPL,new,,bnpl,bnpl,marketplace_amazon,"Descriptor is LAYBUY* AMAZON. Same file labels Klarna/Zilch + identifiable merchant as the underlying shop, not bnpl."
Revolut,Sent from Revolut Zohaib Khan,10.37,credit,equifax,Own Transfers | Bank Transfer,new,,transfer_p2p,transfer_p2p,transfer_p2p,
TV Licensing ,TV LICENCE QBP1,41.0,debit,equifax,Utilities | TV Licences,new,,tv_licence,tv_licence,tv_licence,
Allpay,ALLPAY *GRAMPIAN HOUSI CD 9989,597.85,debit,equifax,,new,,rent,rent,rent,
State Pension,YB974432B DWP  SP,235.25,credit,equifax,,new,,pension_received,pension_received,pension_received,
Cancer Research UK,Cancer Research UK CANCER RESEARCH UK     BIRMINGHAM    GBR,3.5,debit,equifax,,new,,charitable_donation,charitable_donation,charitable_donation,
McDonalds,D MCDONALD 22OCT23,10.0,credit,equifax,,new,,takeaway,unclassified_other,transfer_p2p,"Credit appears to be from an individual named D McDonald, not a restaurant purchase."
Clearpay,2349 11JUN25      CLEARPAY          CLEARPAY.CO.U GB,3.72,debit,equifax,Financial Services | BNPL,new,,bnpl,bnpl,bnpl,
Allpay,A03895420 Allpay,40.0,debit,equifax,,new,,unclassified_other,rent,rent,"Recurring Allpay reference is consistent with a housing payment, though the payee is not shown."
Marketplace,AMZNMktplace      amazon.co.uk,92.27,debit,equifax,Amazon All | Amazon,new,,marketplace_amazon,marketplace_amazon,marketplace_amazon,
Overpayments,CENT REC GROUP DD,20.0,debit,equifax,,new,,income_other_unspecified,loan_repayment_dd,debt_collection,Central Recovery Group direct debit is a recovery payment rather than income.
Wayfair,Klarna*Wayfair UK,55.19,debit,equifax,Shopping (Home) | Home Accessories,new,,bnpl,bnpl,home_accessories,Wayfair is the clear underlying homewares merchant despite Klarna routing.
HMRC,120PP01372751 United Kingdom Account HMRC Cumberland,3937.05,debit,equifax,,new,,tax_payment,tax_payment,tax_payment,
Barnardos,BARNARDO'S 55734,3.0,debit,equifax,,new,,charitable_donation,charitable_donation,charitable_donation,
HMRC,HMRC SA  1068789713K00002 BGC,55.7,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
W.H.Smith,HESTON S/W WH SMITHS WH Smith,5.99,debit,equifax,"Books, Newspapers and Magazines | General Books",new,,books,books,books,
HMRC,HMRC SA,4083.76,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
Prime,Amazon Prime*BS7NN  ON 04 JAN BDC,8.99,debit,equifax,Amazon All | Amazon,new,,streaming,streaming,streaming,
OVO Energy,Visa purchase OVO ENERGY,20.0,debit,equifax,Utilities | Energy Providers,new,,energy,energy,energy,
sQuid,squidcard*sQuidcar  ON 02 JUN BCC,35.0,debit,equifax,Education and Learning | School Fees,new,,school_fees,school_fees,prepaid_card,
Tesco Bank,001219253107/58594 Tesco Bank,337.18,debit,equifax,Rent and Mortgage | Mortgages,new,,unclassified_other,mortgage,financial_institution_unspecified,Payment is to Tesco Bank but the product is not identifiable from the narrative.
Mango,MRS J CORDUKES  MANGO BALLS OFF FT,40.0,debit,equifax,Shopping (Fashion) | Womens Fashion,new,,clothing_womens,clothing_womens,transfer_p2p,Narrative names an individual and a free-text reference; it is not a Mango retailer descriptor.
Moneybox,MONEYBOX  PQYSSKB DDR Moneybox,5.0,debit,equifax,,new,,savings_transfer,savings_transfer,savings_transfer,
LOYALTY REWARD,MYREWARDS,10.0,credit,equifax,,new,,cashback,cashback,cashback,
Sainsbury's Petrol,SAINSBURYS PETROL  ON 30 APR CLP,40.46,debit,equifax,Commuting and travel | Fuel,new,,fuel,fuel,fuel,
Bet365,BET365,200.0,credit,equifax,Identified Salary | Betting,new,,gambling_betting,gambling_betting,gambling_betting,
Save The Change,SAVE THE CHANGE,1.28,debit,equifax,,new,,savings_transfer,savings_transfer,savings_transfer,
HMRC,HMRC SA  2360395400K00004 BGC,666.43,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
Paypal,Domestika Inc PAYPAL *DOMESTIKA INC  4029357733    USA,1.02,debit,equifax,Misc Card Spend | Foreign,new,,payment_intermediary,education_general,education_general,Domestika is the identifiable underlying online-course provider; PayPal is only the intermediary.
Pets at Home,PETS AT HOME LTD  ON 26 OCT CLP Pets at Home,4.19,debit,equifax,Pets | Pet Accessories,new,,pet_supplies,pet_supplies,pet_supplies,
Park Holidays UK,Park Holidays - He  ON 28 MAY CLP PARK HOLIDAYS - HEDLEY,14.0,debit,equifax,Flights and Holidays | Holidays UK,new,,holiday_uk,holiday_uk,holiday_uk,
Monzo,Sent from Monzo Sarah Bradley,6.0,debit,equifax,Transfers / Other | Bank Transfer,new,,transfer_own_account,transfer_p2p,transfer_p2p,Named-person Monzo transfer; no evidence it is the customer's own account.
Marketplace,AMZNMktplace  ON 19 DEC BCC,24.99,debit,equifax,Amazon All | Amazon,new,,marketplace_amazon,marketplace_amazon,marketplace_amazon,
LOYALTY REWARD,MYREWARDS,10.0,credit,equifax,,new,,cashback,cashback,cashback,
East Yorkshire MOT,EAST YORKSHIRE MOT EAST YORKSHIRE MOTOR SERV,2.0,debit,equifax,Automotive | M.O.T.,new,,vehicle_mot,vehicle_mot,public_transport_rail_coach,East Yorkshire Motor Services is a bus operator; MOT was inferred from the name fragment.
Apple App Store,INT'L 0022353266  APPLE.COM/BILL    APPLE.COM/BIL,3.99,debit,equifax,Shopping (Discretionary) | Music and Downloads,new,,software,software,software,
TheTrainLine,Refund from Trainline,1.45,credit,equifax,Refund | Trains and Coaches,new,,refund_received,public_transport_rail_coach,refund_received,Credit explicitly states a Trainline refund.
Overpayments,CENT REC GROUP DD,163.78,debit,equifax,,new,,income_other_unspecified,income_other_unspecified,debt_collection,"Central Recovery Group direct debit is a recovery payment, not income."
Pure Gym,PureGym PureGym Limited        Leeds         GBR,49.86,debit,equifax,Personal Healthcare | Gyms And Health Clubs,new,,gym_fitness,gym_fitness,gym_fitness,
DVSA,DVSA,23.0,debit,equifax,Education and Learning | Driving Tuition,new,,driving_tuition,driving_tuition,driving_tuition,
State Pension,YE797432A DWP  SP,1016.72,credit,equifax,,new,,pension_received,pension_received,pension_received,
Child Benefits,HMRC CHILD BENEFIT,93.4,credit,equifax,,new,,benefits_state,benefits_state,benefits_state,
Haven Holidays,SUMUP *RICHARD HAV  ON 28 JAN CLP SUMUP  *RICHARD HAVEN,13.0,debit,equifax,Flights and Holidays | Holidays UK,new,,holiday_uk,holiday_uk,beauty_treatment,"SUMUP *RICHARD HAVEN is Richard Haven barber, not Haven Holidays."
Clearpay,Clearpay,23.16,debit,equifax,Financial Services | BNPL,new,,bnpl,bnpl,bnpl,
State Pension,Bank credit YM101624A DWP SP 607080 10025707,897.48,credit,equifax,,new,,pension_received,pension_received,pension_received,
Marketplace,AMZNMktplace*RN2JJ AMZNMktplace*RN2JJ29O4,5.99,debit,equifax,Amazon All | Amazon,new,,marketplace_amazon,marketplace_amazon,marketplace_amazon,
Bitcoin,Exchanged to BTC,0.35,debit,equifax,Investments and Trading | Cryptocurrency,new,,crypto,crypto,crypto,
Myprotein,Myprotein MYPROTEIN              ALTRINCHAM    GBR,21.81,debit,equifax,Personal Healthcare | Supplements,new,,supplements,supplements,supplements,
ASOS,ASOS Klarna*asos            London        GBR,39.43,debit,equifax,Shopping (Fashion) | General Fashion,new,,clothing_general,clothing_general,clothing_general,
Primark,PRIMARK NORWICH 54NORWICH,14.0,debit,equifax,Shopping (Fashion) | General Fashion,new,,clothing_general,clothing_general,clothing_general,
The Perfume Shop,The Perfume Shop Klarna*the perfume s   London        GBR,59.58,debit,equifax,Personal Healthcare | Fragrances,new,,fragrances,fragrances,fragrances,
DVLA,DVLA-W29COW,34.56,debit,equifax,Automotive | Road Tax,new,,road_tax,road_tax,road_tax,
HMRC,HMRC CUMBERNAULD  120PJ02114571     VIA MOBILE - PYMT FP 30/01/************0410000N,500.0,debit,equifax,,new,,tax_payment,tax_payment,tax_payment,
William Hill,PAYPAL *WILLIAMHIL PAYPAL *WILLIAMHILL,20.0,debit,equifax,Gambling and Betting | Betting,new,,gambling_betting,gambling_betting,gambling_betting,
Primark,PRIMARK,42.5,debit,equifax,Shopping (Fashion) | General Fashion,new,,clothing_general,clothing_general,clothing_general,
Child Support Agency,K WHITBY  CSA FT,30.0,debit,equifax,,new,,income_other_unspecified,income_other_unspecified,family_services,CSA payment is child maintenance/family support; income category contradicts debit direction.
West End Theatre Breaks,PLATINUM WEST END,52.77,debit,equifax,Entertainment | Theatre Tickets,new,,theatre,theatre,theatre,
Deliveroo,CARD PAYMENT TO DELIVEROO ON 09-01-2025,22.92,debit,equifax,Restaurants and takeaway | Take Away,new,,takeaway,takeaway,takeaway,
McDonalds,McDonalds 8262183  ON 03 MAR BCC,10.46,debit,equifax,Restaurants and takeaway | Take Away,new,,takeaway,takeaway,takeaway,
Royal London Pensions,ROYAL LONDON,9.0,debit,equifax,,new,,pension_contribution,pension_contribution,pension_contribution,
Home Retail,CARD PAYMENT TO HOME RETAIL GROUP ON 20-12-2024,20.16,debit,equifax,Shopping (Home) | Home Accessories,new,,home_accessories,home_accessories,home_accessories,
Post Office,LATCHINGDON POST O LATCHINGDON POST OFF 01,4.24,debit,equifax,Services | Delivery,new,,government_services,government_services,delivery_courier,Post Office purchase is most consistent with postal/delivery services.
Halfords,HALFORDS 0407  ON 26 NOV CPM Halfords,21.49,debit,equifax,Automotive | Garages and Parts,new,,vehicle_maintenance,vehicle_maintenance,vehicle_maintenance,
McDonalds,MCDONALDS RESTAURA,347.99,credit,equifax,Identified Salary | Take Away,new,,takeaway,income_other_unspecified,salary,Large credit is identified as salary from McDonald's.
DVSA,6368 08JAN25      DVSA              SWANSEA GB,62.0,debit,equifax,Education and Learning | Driving Tuition,new,,driving_tuition,driving_tuition,driving_tuition,
HSBC,Payment to HSBC,250.0,debit,equifax,Rent and Mortgage | Mortgages,new,,financial_institution_unspecified,financial_institution_unspecified,financial_institution_unspecified,
Swinton Insurance,SWINTON MONTHLY,11.18,debit,equifax,Insurance | General Insurance,new,,insurance_general,insurance_general,insurance_general,
The National Lottery,NATIONAL LOTTERY  ON 11 JAN BCC,5.0,debit,equifax,Gambling and Betting | Lottery,new,,gambling_lottery,gambling_lottery,gambling_lottery,
Child Benefits,HMRC CHILD BENEFIT,60.55,credit,equifax,,new,,benefits_state,benefits_state,benefits_state,
Oxfam Shop,OXFAM F3113,4.98,debit,equifax,,new,,charity_shop,charity_shop,charity_shop,
Chaturbate,Crypto.com mmbill.com             LAKE FOREST   USA,8.54,debit,equifax,Misc Card Spend | Foreign,new,,adult_entertainment,adult_entertainment,adult_entertainment,
Chaturbate,Crypto.com mmbill.com             LAKE FOREST   USA,8.67,debit,equifax,Misc Card Spend | Foreign,new,,adult_entertainment,adult_entertainment,adult_entertainment,
Paypal,PayPal PAYPAL*MATIA ANDREW    Luxembourg    LUX,60.0,credit,equifax,Own Transfers | E-Commerce Payment System,new,,payment_intermediary,payment_intermediary,transfer_p2p,PayPal credit identifies an individual counterparty.
W.H.Smith,WH Smith Southend WH Smith Southend Airport,1.5,debit,equifax,"Books, Newspapers and Magazines | General Books",new,,books,books,books,
State Pension,YB772191A DWP  SP,231.59,credit,equifax,,new,,pension_received,pension_received,pension_received,
Save The Change,SAVETHECHANGE-8560,2.03,debit,equifax,,new,,savings_transfer,savings_transfer,savings_transfer,
Overpayments,HMRC NDDS,25.0,debit,equifax,,new,,income_other_unspecified,income_other_unspecified,tax_payment,HMRC NDDS is a tax direct-debit payment.
Marketplace,Visa purchase AMZNMktplace*JX7WE5VU5 5116,23.11,debit,equifax,Amazon All | Amazon,new,,marketplace_amazon,marketplace_amazon,marketplace_amazon,
Tenpin,TENPIN LTD - 191 Tenpin,13.1,debit,equifax,Entertainment | Days Out,new,,days_out,days_out,days_out,
Allpay,Allpay *GREAT PLACES H Allpay *great Places H,155.0,debit,equifax,,new,,unclassified_other,rent,rent,Narrative names Great Places Housing via Allpay.
Surrey Vending Ltd,Surrey Vending NYA*Surrey Vending     Aberystwyth   GBR,1.6,debit,equifax,Shopping (Discretionary) | Confectionary,new,,confectionary,confectionary,confectionary,
Cancer Research UK,CANCER RESEARCH U,10.0,debit,equifax,,new,,charitable_donation,charitable_donation,charitable_donation,
Scottish Widows,SCOTTISH WIDOWS,88.52,debit,equifax,Insurance | Life Insurance,new,,insurance_life,insurance_life,insurance_life,
Post Office,Cash Deposit at West View Cramlington NE23 7AB GB Post Office Banking Services,260.0,credit,equifax,Cash Deposit | Delivery,new,,cash_deposit,cash_deposit,cash_deposit,
HMRC,HMRC SA,681.49,credit,equifax,,new,,tax_refund,tax_refund,tax_refund,
tiktok,TIKTOK SHOP SELLER  ON 11 JAN CRM,6.42,credit,equifax,Transfers / Other | Web Services,new,,online_services,income_other_unspecified,income_other_unspecified,Credit appears to be TikTok Shop seller proceeds rather than a purchase.
Tesco,TESCO STORES 3396 Tesco,31.67,debit,equifax,Shopping (Household Essentials) | General Groceries,new,,groceries,groceries,groceries,
LOYALTY REWARD,MYREWARDS,5.0,credit,equifax,,new,,cashback,cashback,cashback,
Monzo,CHIPOCHASHE AFEKI SENT FROM MONZO P8MG1MMMP2D72YRZZ9,15.0,credit,equifax,Own Transfers | Bank Transfer,new,,transfer_own_account,transfer_p2p,transfer_p2p,Incoming Monzo transfer from a named person.
LOYALTY REWARD,MYREWARDS,10.0,credit,equifax,,new,,cashback,cashback,cashback,
Butlins,BUTLINS,22.6,debit,equifax,Flights and Holidays | Holidays UK,new,,holiday_uk,holiday_uk,holiday_uk,
Motor Fuel Group,Mfg Brandhall,10.0,debit,equifax,Commuting and travel | Fuel,new,,fuel,fuel,fuel,
Uber,Ubr* Pending.uber.com,5.92,debit,equifax,Commuting and travel | Taxis,new,,taxi_rideshare,taxi_rideshare,taxi_rideshare,
Universal Credit,202059E85 DWP UC  000000001642926988 BGC,847.52,credit,equifax,,new,,benefits_state,benefits_state,benefits_state,
Personal Independence Payment ,Bank credit JX587095D DWP PIP ************5898,549.0,credit,equifax,,new,,benefits_state,benefits_state,benefits_state,
Admiral Insurance,ADMIRAL INSURANCE,13.3,debit,equifax,Insurance | Motor Insurance,new,,insurance_motor,insurance_general,insurance_general,Merchant and native category support motor insurance.
Post Office,POST OFFICE  18MAR,24.0,debit,equifax,Services | Delivery,new,,government_services,government_services,delivery_courier,Post Office purchase is most consistent with postal/delivery services.
McDonalds,MARGARET MCDONALD MARGARET MCDONALD PEF5TB5YJ64KCYOIJN,50.0,credit,equifax,Own Transfers | Take Away,new,,unclassified_other,transfer_p2p,transfer_p2p,Incoming transfer from an individual named Margaret McDonald.
sQuid,Squidcard squidcard*sQuidcard    Surrey        GBR,10.0,debit,equifax,Education and Learning | School Fees,new,,school_fees,prepaid_card,prepaid_card,"sQuid is a cashless school-payment card top-up, not a school fee itself."
BISL,BISL RAC INSURANCE  136246197370722876 DDR,23.01,debit,equifax,Insurance | Motor Insurance,new,,insurance_motor,insurance_motor,insurance_motor,
Shopify Captial,SHOPIFY CAPITAL UK SYLPXWEPPEMFJUSXPS,93.11,debit,equifax,Investments and Trading | Investments,new,,business_loan_repayment,business_loan_repayment,business_loan_repayment,
TheTrainLine,Visa purchase TRAINLINE APPLEPAY 6751,36.79,debit,equifax,Commuting and travel | Trains and Coaches,new,,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,
Plus500,0129 22MAY25      PLUS500           LONDON          GBCREDIT,75.0,credit,equifax,Investments and Trading | Trading,new,,investment_trading,investment_trading,investment_trading,
State Pension,YB613670D DWP  SP,207.63,credit,equifax,,new,,pension_received,pension_received,pension_received,
