merchant,gold_leaf,alt_leaf,gold_source,plaid_n
portsmouth city council,council_tax,,consensus_all_agree,33
great western railway,public_transport_rail_coach,,consensus_all_agree,33
reward gateway,employee_benefits,,consensus_all_agree,33
boux avenue,clothing_womens,,adjudicated_llm,32
pizza gogo,takeaway,,consensus_all_agree,32
lucky seven taxis,taxi_rideshare,,consensus_all_agree,32
chessington world of adventures,days_out,,consensus_all_agree,32
mersey travel,public_transport_rail_coach,,consensus_all_agree,32
perfect pet,insurance_pet,,adjudicated_equifax,32
saltrock surfwear,clothing_outdoor,,adjudicated_llm,31
prezzo,restaurant_cafe,,consensus_all_agree,31
the tanning rooms,beauty_treatment,,adjudicated_llm,31
pet protect,insurance_pet,,consensus_all_agree,31
compass group,catering,,consensus_all_agree,31
crocs,footwear,,adjudicated_llm,30
reading borough council,council_tax,,consensus_all_agree,30
the bell inn,pub_bar,,consensus_all_agree,29
east yorkshire mot,vehicle_mot,,consensus_all_agree,29
wayfair,home_accessories,,consensus_all_agree,29
feel good contacts,optician,,adjudicated_llm,29
ann summers,adult_products,,adjudicated_llm,29
anytime fitness,gym_fitness,,consensus_all_agree,29
the nags head,pub_bar,,consensus_all_agree,29
v kent minimart ltd,convenience_store,,adjudicated_llm,28
scoffable,takeaway,,consensus_all_agree,28
health lottery,gambling_lottery,,consensus_all_agree,28
franco manca,restaurant_cafe,,consensus_all_agree,28
crowne plaza,accommodation,,consensus_all_agree,28
tottenham hotspur,sports_tickets,,consensus_all_agree,28
p&o ferries,ferry_rail_travel,,consensus_all_agree,28
gumtree,marketplace_amazon,,adjudicated_llm,28
royal george,pub_bar,,consensus_all_agree,28
the queens head,pub_bar,,consensus_all_agree,28
split my fare,public_transport_rail_coach,,adjudicated_equifax,28
greenthumb,garden,,consensus_all_agree,28
ford credit,car_finance_repayment,,consensus_all_agree,27
deezer,streaming_music,,adjudicated_llm,27
barnardos,charitable_donation,,consensus_all_agree,27
wigan council,council_tax,,consensus_all_agree,27
scribbler,gifts_flowers,,consensus_all_agree,27
novuna personal finance,personal_loan_repayment,,consensus_all_agree,27
everyday loans,personal_loan_repayment,,consensus_all_agree,27
central england co-op,groceries,,consensus_all_agree,27
everton fc,sports_tickets,,consensus_all_agree,27
east suffolk council,council_tax,,consensus_all_agree,26
first worcestershire,public_transport_rail_coach,,consensus_all_agree,26
click energy,energy,,consensus_all_agree,26
nasuwt,trade_union,,consensus_all_agree,25
metrolink,public_transport_rail_coach,,consensus_all_agree,25
photobox,photography_services,printing_services,adjudicated_either,25
reebok,sportswear,,consensus_all_agree,25
michael kors,clothing_general,,consensus_all_agree,25
bamboo loans,personal_loan_repayment,,consensus_all_agree,25
village stores,convenience_store,,consensus_all_agree,25
stepchange,debt_management_plan,,consensus_all_agree,25
jagex,gaming_online,,adjudicated_llm,25
ca auto finance,car_finance_repayment,,consensus_all_agree,25
gymshark,sportswear,,consensus_all_agree,25
rci financial services,car_finance_repayment,,consensus_all_agree,25
legoland windsor,days_out,,consensus_all_agree,25
the three horseshoes,pub_bar,,consensus_all_agree,25
sightsavers,charitable_donation,,consensus_all_agree,25
virgin wines,alcohol_wine,,consensus_all_agree,25
mobiles.co.uk,mobile_handset,,consensus_all_agree,24
english heritage,days_out,,consensus_all_agree,24
carmoola,car_finance_repayment,,consensus_all_agree,24
edinburgh trams,public_transport_rail_coach,,consensus_all_agree,24
sky staff restaurant,restaurant_cafe,,consensus_all_agree,24
first cornwall,public_transport_rail_coach,,consensus_all_agree,24
south kesteven,council_tax,,consensus_all_agree,23
norwich city council,council_tax,,consensus_all_agree,23
irish ferries,ferry_rail_travel,,consensus_all_agree,23
matchbook,gambling_betting,,consensus_all_agree,23
millets,clothing_outdoor,,consensus_all_agree,23
tamworth co-op,groceries,,consensus_all_agree,23
the prince of wales,pub_bar,,consensus_all_agree,23
prudential,insurance_life,,consensus_all_agree,23
ace-abc taxis,taxi_rideshare,,consensus_all_agree,23
valleys finance,personal_loan_repayment,,consensus_all_agree,22
electric ireland,energy,,consensus_all_agree,22
likely loans,personal_loan_repayment,,consensus_all_agree,22
gear4music,musical_instruments,audio_equipment,adjudicated_either,22
go car credit,car_finance_repayment,,consensus_all_agree,22
eurochange,foreign_currency,,consensus_all_agree,22
islamic relief,charitable_donation,,consensus_all_agree,22
oakbrook finance,personal_loan_repayment,,consensus_all_agree,22
natural history museum,days_out,,consensus_all_agree,22
london borough of newham,council_tax,,consensus_all_agree,22
cafe express,restaurant_cafe,,consensus_all_agree,22
supermercado,groceries,,consensus_all_agree,22
back market uk ltd,marketplace_refurbished,,adjudicated_llm,22
student loans company,student_loan_repayment,,adjudicated_llm,22
bourne leisure,holiday_uk,,consensus_all_agree,22
bagel factory,restaurant_cafe,,consensus_all_agree,21
stevenage borough council,council_tax,,consensus_all_agree,21
cotton on,clothing_general,,consensus_all_agree,21
curvissa,clothing_womens,,consensus_all_agree,21
the lord nelson,pub_bar,,consensus_all_agree,21
fareham borough council,council_tax,,consensus_all_agree,21
flintshire county council,council_tax,,consensus_all_agree,21
dpd group,delivery_courier,,consensus_all_agree,21
the woolpack,pub_bar,,consensus_all_agree,21
payl8r,bnpl,,consensus_all_agree,21
healthspan,supplements,,consensus_all_agree,21
really awesome coffee,restaurant_cafe,,consensus_all_agree,20
the white company,home_accessories,,adjudicated_llm,20
eflorist,gifts_flowers,,consensus_all_agree,20
bandcamp,music_other,,adjudicated_llm,20
copart,vehicle_purchase,,consensus_all_agree,20
riot games,gaming_online,,consensus_all_agree,20
minimarket,convenience_store,,consensus_all_agree,20
sun bingo,gambling_bingo,,consensus_all_agree,20
vitabiotics,supplements,,consensus_all_agree,20
turkish airlines,flights,,consensus_all_agree,19
the duke of wellington,pub_bar,,consensus_all_agree,19
first aberdeen,public_transport_rail_coach,,consensus_all_agree,19
royal bank of scotland,financial_institution_unspecified,,consensus_all_agree,19
bristol hippodrome,theatre,,consensus_all_agree,19
fidelity,investment_general,,consensus_all_agree,19
travellers rest,pub_bar,,consensus_all_agree,19
the white swan,pub_bar,,consensus_all_agree,19
adrian flux,insurance_motor,,consensus_all_agree,19
copybet,gambling_betting,,consensus_all_agree,18
arval,car_lease,,consensus_all_agree,18
rowes newsmarket,convenience_store,,adjudicated_equifax,18
walsall council,council_tax,,consensus_all_agree,18
countrywide reside,rent,,adjudicated_equifax,18
glasgow city council,council_tax,,consensus_all_agree,18
ancoats general store,convenience_store,,adjudicated_llm,18
cosmetix limited,health_beauty_general,,adjudicated_llm,18
free now,taxi_rideshare,,consensus_all_agree,17
newcastle city council,council_tax,,consensus_all_agree,17
bnp paribas,financial_institution_unspecified,,consensus_all_agree,17
brittany ferries,ferry_rail_travel,,adjudicated_llm,17
coventry city council,council_tax,,consensus_all_agree,17
creams,restaurant_cafe,,consensus_all_agree,17
covea life,insurance_life,,consensus_all_agree,17
pryzm,night_club,,consensus_all_agree,17
secret sales,catalogue_retail,,adjudicated_equifax,17
quiz clothing,clothing_womens,,adjudicated_llm,17
wpa health,insurance_health,,consensus_all_agree,17
the lamb inn,pub_bar,,consensus_all_agree,17
kurt geiger,footwear,clothing_general,adjudicated_either,17
pet drugs online,veterinary,,adjudicated_equifax,17
blackpool pleasure beach,days_out,,consensus_all_agree,17
giraffe,restaurant_cafe,,consensus_all_agree,17
ancestry,genealogy_services,,consensus_all_agree,17
london borough of southwark,council_tax,,consensus_all_agree,17
vapiano,restaurant_cafe,,consensus_all_agree,17
mkm building supplies,home_improvement,,consensus_all_agree,17
flying horse,pub_bar,,consensus_all_agree,17
codonas,days_out,,consensus_all_agree,16
the fox and hounds,pub_bar,,consensus_all_agree,16
london borough of croydon,council_tax,,consensus_all_agree,16
park christmas savings,savings_transfer,,consensus_all_agree,16
hyundai capital uk,car_finance_repayment,,consensus_all_agree,16
maidstone borough council,council_tax,,consensus_all_agree,16
unicef,charitable_donation,,consensus_all_agree,16
anduff car wash limited,carwash,,consensus_all_agree,16
vueling,flights,,consensus_all_agree,16
stena line,ferry_rail_travel,,consensus_all_agree,16
betterhelp,mental_health_services,,consensus_all_agree,16
saracens head,pub_bar,,consensus_all_agree,16
loot casino,gambling_casino,,consensus_all_agree,16
british red cross,charitable_donation,,consensus_all_agree,16
sncf,ferry_rail_travel,public_transport_rail_coach,adjudicated_either,16
lloyds,financial_institution_unspecified,,consensus_all_agree,16
central bedfordshire council,council_tax,,consensus_all_agree,16
picturehouse,cinema,,consensus_all_agree,15
taurus insurance,insurance_general,,consensus_all_agree,15
the kings,pub_bar,,consensus_all_agree,15
tick tock loans,payday_loan,,adjudicated_llm,15
lovehoney,adult_products,,consensus_all_agree,15
arun district council,council_tax,,consensus_all_agree,15
huel,groceries_specialist,,adjudicated_llm,15
dishoom,restaurant_cafe,,consensus_all_agree,15
rose & crown,pub_bar,,consensus_all_agree,15
horse and groom,pub_bar,,consensus_all_agree,15
canterbury city council,council_tax,,consensus_all_agree,15
wiltshire farm foods,groceries_specialist,,consensus_all_agree,15
halifax mortgages,mortgage,,consensus_all_agree,15
kilted competition,prize_competitions,,adjudicated_llm,15
boars head,pub_bar,,consensus_all_agree,15
hertz,car_hire,,consensus_all_agree,15
humber bridge,tolls,,consensus_all_agree,14
hachette partworks,magazines,books,adjudicated_either,14
klm,flights,,consensus_all_agree,14
marisota,clothing_womens,,adjudicated_llm,14
ministry of sound,night_club,,consensus_all_agree,14
the white bear,pub_bar,,consensus_all_agree,14
abercrombie & fitch,clothing_general,clothing_mens,adjudicated_either,14
fusion lifestyle,gym_fitness,,consensus_all_agree,14
big easy,restaurant_cafe,,consensus_all_agree,14
american golf,sports_equipment,,consensus_all_agree,14
abel & cole,groceries_specialist,,consensus_all_agree,14
new balance,sportswear,,adjudicated_llm,14
redemption roasters,restaurant_cafe,,consensus_all_agree,14
the star,pub_bar,,consensus_all_agree,14
coverwise,insurance_travel,,adjudicated_equifax,14
chelmsford city council,council_tax,,consensus_all_agree,14
cards galore,gifts_flowers,,consensus_all_agree,13
robin hood,pub_bar,,consensus_all_agree,13
totally wicked,vaping,,consensus_all_agree,13
badoo,online_dating,,consensus_all_agree,13
fat face,clothing_general,,consensus_all_agree,13
amorino,restaurant_cafe,takeaway,adjudicated_either,13
lola's cupcakes,confectionary,,adjudicated_equifax,13
the duke of york,pub_bar,,consensus_all_agree,13
castle bingo,gambling_bingo,,adjudicated_llm,13
pof,online_dating,,consensus_all_agree,13
places for people leisure,gym_fitness,,consensus_all_agree,13
the corner house,pub_bar,restaurant_cafe,adjudicated_either,13
edf,energy,,consensus_all_agree,13
zen internet,broadband_tv_phone,,consensus_all_agree,13
star forecourts,fuel,,consensus_all_agree,13
flight club,entertainment_other,pub_bar,adjudicated_either,13
legoland,days_out,,consensus_all_agree,13
bonmarche,clothing_womens,,adjudicated_llm,13
the sportsman,pub_bar,,consensus_all_agree,13
wimpy,restaurant_cafe,takeaway,adjudicated_either,12
home group,rent,,adjudicated_correction,12
fuel juice bars,restaurant_cafe,,consensus_all_agree,12
deichmann,footwear,,adjudicated_llm,12
molly malones,pub_bar,,consensus_all_agree,12
fruugo,marketplace_amazon,,adjudicated_correction,12
the bat and ball,pub_bar,,adjudicated_llm,12
resolvecall,debt_collection,,consensus_all_agree,12
isle of wight council,council_tax,,consensus_all_agree,12
mainline menswear,clothing_mens,,adjudicated_llm,12
tsb insurance,insurance_general,insurance_other,adjudicated_either,12
europcar,car_hire,,consensus_all_agree,12
twycross zoo,days_out,,consensus_all_agree,11
three mariners,pub_bar,,consensus_all_agree,11
sheffield wednesday,sports_tickets,,consensus_all_agree,11
delikatesy smaczek,groceries_specialist,,adjudicated_llm,11
the albion,pub_bar,,consensus_all_agree,11
london eye,days_out,,consensus_all_agree,11
the castle inn,pub_bar,,consensus_all_agree,11
powys county council,council_tax,,consensus_all_agree,11
green man,pub_bar,,consensus_all_agree,11
hays travel,holiday_package,,adjudicated_equifax,11
zalando,clothing_general,,consensus_all_agree,11
starspins,gambling_casino,,consensus_all_agree,11
manchester city council,council_tax,,consensus_all_agree,11
gravesham borough,council_tax,,consensus_all_agree,11
enterprise credit union,credit_union_repayment,,consensus_all_agree,11
fantastic services,cleaning_services,,consensus_all_agree,11
london borough of bexley,council_tax,,consensus_all_agree,11
warhammer,games_puzzles,,consensus_all_agree,11
manchester united,sports_tickets,,consensus_all_agree,11
the barley mow,pub_bar,,consensus_all_agree,11
allsaints,clothing_general,,consensus_all_agree,11
the breakfast club,restaurant_cafe,,consensus_all_agree,11
the new queen victoria,pub_bar,,consensus_all_agree,11
origin coffee,restaurant_cafe,,consensus_all_agree,11
hawksmoor,restaurant_cafe,,consensus_all_agree,11
superbet.ro,gambling_betting,,consensus_all_agree,11
forest of dean district council,council_tax,,consensus_all_agree,11
krystal express,convenience_store,,adjudicated_equifax,11
southern railway,public_transport_rail_coach,,consensus_all_agree,11
trentbarton,public_transport_rail_coach,,consensus_all_agree,11
mr green,gambling_casino,,consensus_all_agree,11
royal british legion,charitable_donation,,consensus_all_agree,11
binance,crypto,,consensus_all_agree,10
tian tian market,groceries_specialist,,adjudicated_llm,10
hartlepool borough council,council_tax,,consensus_all_agree,10
harry corry,home_accessories,,consensus_all_agree,10
yard sale pizza,takeaway,,consensus_all_agree,10
the hop,pub_bar,,consensus_all_agree,10
bank of ireland,financial_institution_unspecified,,consensus_all_agree,10
virgin mobile,mobile_phone_contract,,consensus_all_agree,10
lopay taxi,taxi_rideshare,,consensus_all_agree,10
afc bournemouth,sports_tickets,,consensus_all_agree,10
st lukes hospice,charitable_donation,,consensus_all_agree,10
newcastle united,sports_tickets,,consensus_all_agree,10
perks at work,employee_benefits,,consensus_all_agree,10
rushmoor borough council,council_tax,,consensus_all_agree,10
mcafee,software,,adjudicated_llm,10
sykes cottages,holiday_rental,,consensus_all_agree,10
the vine,pub_bar,,consensus_all_agree,10
tommy hilfiger,clothing_general,,consensus_all_agree,10
kraken,crypto,,consensus_all_agree,10
precise mortgages,mortgage,,consensus_all_agree,10
weight watchers,weight_loss,,consensus_all_agree,10
roosters piri piri,takeaway,,consensus_all_agree,10
the grapes,pub_bar,,consensus_all_agree,10
royal college of nursing,trade_union,,consensus_all_agree,9
moss bros,clothing_mens,,consensus_all_agree,9
ask italian,restaurant_cafe,,consensus_all_agree,9
northumberland county council,council_tax,,consensus_all_agree,9
coco di mama,restaurant_cafe,,consensus_all_agree,9
reading buses,public_transport_rail_coach,,consensus_all_agree,9
specialist motor finance,car_finance_repayment,,consensus_all_agree,9
sky bar,pub_bar,,consensus_all_agree,9
pet supermarket,pet_supplies,,consensus_all_agree,9
novotel,accommodation,,consensus_all_agree,9
t-mobile,mobile_phone_contract,,consensus_all_agree,9
cheltenham borough,council_tax,,consensus_all_agree,9
beaverbrooks,jewellery,,consensus_all_agree,9
snapfish,photography_services,printing_services,adjudicated_either,9
pozitive energy,energy,,consensus_all_agree,9
east devon district council,council_tax,,consensus_all_agree,9
pensionbee,pension_contribution,,consensus_all_agree,9
gift company,gifts_flowers,,adjudicated_llm,9
first choice,holiday_package,,consensus_all_agree,9
bls collections,debt_collection,,consensus_all_agree,9
lloyds pharmacy,pharmacy,,consensus_all_agree,9
glasses direct,optician,,consensus_all_agree,8
boohooman,clothing_mens,,consensus_all_agree,8
revolution bars,pub_bar,,consensus_all_agree,8
community fibre limited,broadband_tv_phone,,consensus_all_agree,8
debt recovery plus,debt_collection,,consensus_all_agree,8
gourmet burger kitchen,restaurant_cafe,,consensus_all_agree,8
tsb,financial_institution_unspecified,,consensus_all_agree,8
reiss,clothing_general,,consensus_all_agree,8
betdaq,gambling_betting,,consensus_all_agree,8
leasys uk ltd,car_lease,,adjudicated_llm,8
the deep,days_out,,consensus_all_agree,8
eharmony,online_dating,,consensus_all_agree,8
the queen,pub_bar,,consensus_all_agree,8
fishermans rest,pub_bar,restaurant_cafe,adjudicated_either,8
paultons park,days_out,,consensus_all_agree,8
santa pod raceway,days_out,,consensus_all_agree,8
game,gaming_console_pc,,consensus_all_agree,8
tebex,gaming_online,,consensus_all_agree,8
wolverhampton city council,council_tax,,consensus_all_agree,8
action aid,charitable_donation,,consensus_all_agree,8
chiquito,restaurant_cafe,,consensus_all_agree,8
moorcroft debt recovery,debt_collection,,consensus_all_agree,8
portsmouth fc,sports_tickets,,consensus_all_agree,8
lincolnshire co-op,groceries,,consensus_all_agree,8
luton town football club,sports_tickets,,consensus_all_agree,8
howdens joinery,home_improvement,,consensus_all_agree,8
regatta,clothing_outdoor,,consensus_all_agree,8
halton bc,council_tax,,consensus_all_agree,8
express taxis,taxi_rideshare,,consensus_all_agree,8
tariq halal meats,groceries_specialist,,adjudicated_llm,8
marquis of granby,pub_bar,,consensus_all_agree,8
joules,clothing_general,,consensus_all_agree,8
the holly bush,pub_bar,,consensus_all_agree,8
blakely clothing,clothing_general,,consensus_all_agree,8
lightinthebox,retail_tv_online_shopping,,adjudicated_llm,8
lancaster city council,council_tax,,consensus_all_agree,8
hargreaves lansdown,investment_general,,consensus_all_agree,7
pinnacle insurance,insurance_general,,consensus_all_agree,7
the stag,pub_bar,,consensus_all_agree,7
bravissimo,clothing_womens,,adjudicated_llm,7
tossed,restaurant_cafe,,consensus_all_agree,7
iss food,catering,,adjudicated_llm,7
middlesbrough council,council_tax,,consensus_all_agree,7
london borough of harrow,council_tax,,consensus_all_agree,7
countess of chester hospital,hospital,,consensus_all_agree,7
ellis brigham,clothing_outdoor,,adjudicated_llm,7
hoist finance,debt_collection,,consensus_all_agree,7
the imperial,pub_bar,,consensus_all_agree,7
gosport borough council,council_tax,,consensus_all_agree,7
names.co.uk,web_services,,consensus_all_agree,7
act credit management,debt_collection,,consensus_all_agree,7
the purple turtle,pub_bar,,consensus_all_agree,7
station food & wine,convenience_store,,consensus_all_agree,7
miller and carter,restaurant_cafe,,consensus_all_agree,7
the three tuns,pub_bar,,consensus_all_agree,7
trafford council,council_tax,,consensus_all_agree,7
interflora,gifts_flowers,,consensus_all_agree,7
aspendos,restaurant_cafe,,consensus_all_agree,7
grab-a-bite,takeaway,,adjudicated_llm,7
ayrshire college,education_general,,consensus_all_agree,7
good energy,energy,,consensus_all_agree,7
sushimania,restaurant_cafe,,consensus_all_agree,7
metro cars,taxi_rideshare,,consensus_all_agree,7
daily stop,convenience_store,,consensus_all_agree,7
hart district council,council_tax,,consensus_all_agree,7
grimsby fisheries,takeaway,,adjudicated_equifax,7
massimo dutti,clothing_general,,consensus_all_agree,7
the tan studio limited,beauty_treatment,,adjudicated_llm,7
yankee candle,home_accessories,,consensus_all_agree,7
the wrestlers,pub_bar,,consensus_all_agree,7
london borough of lewisham,council_tax,,consensus_all_agree,6
new forest district council,council_tax,,consensus_all_agree,6
westminster city council,council_tax,,consensus_all_agree,6
banquet records,physical_media,,adjudicated_llm,6
chip shed bourton limited,takeaway,,adjudicated_llm,6
the times,newspapers,,consensus_all_agree,6
heaven london,night_club,,consensus_all_agree,6
manchester city football club,sports_tickets,,consensus_all_agree,6
dartford borough council,council_tax,,consensus_all_agree,6
white stuff,clothing_general,,consensus_all_agree,6
abbey,financial_institution_unspecified,,consensus_all_agree,6
lne railway,public_transport_rail_coach,,consensus_all_agree,6
lewes district council,council_tax,,consensus_all_agree,6
planet organic,groceries_specialist,,adjudicated_llm,6
the village inn,pub_bar,,consensus_all_agree,6
rapid formations,business_services,,consensus_all_agree,6
trinity insurance,insurance_general,insurance_other,adjudicated_either,6
bunch of grapes,pub_bar,,consensus_all_agree,6
qd stores,discount_store,,consensus_all_agree,6
kensington mortgages,mortgage,,consensus_all_agree,6
calderdale council,council_tax,,consensus_all_agree,6
honda finance,car_finance_repayment,,consensus_all_agree,6
landmark mortgages,mortgage,,consensus_all_agree,6
oxford city council,council_tax,,consensus_all_agree,6
the black lion,pub_bar,,consensus_all_agree,6
joom,retail_tv_online_shopping,,consensus_all_agree,6
the goose,pub_bar,,consensus_all_agree,6
wawel polski sklep,groceries_specialist,,adjudicated_llm,6
vida homeloans,mortgage,,consensus_all_agree,6
fone world,mobile_handset,,consensus_all_agree,6
moon on the hill,pub_bar,,consensus_all_agree,6
delice de france,restaurant_cafe,takeaway,adjudicated_either,6
bread meats bread,restaurant_cafe,,consensus_all_agree,6
the independent pharmacy,pharmacy,,consensus_all_agree,6
online carpets,home_accessories,,adjudicated_llm,6
scotfresh,groceries,,consensus_all_agree,6
swindon borough council,council_tax,,consensus_all_agree,6
mouse tail coffee,restaurant_cafe,,consensus_all_agree,6
globe news,newspapers,,consensus_all_agree,6
rbs mortgages,mortgage,,consensus_all_agree,6
mail boxes etc,delivery_courier,,consensus_all_agree,6
richardsons budgens,groceries,,consensus_all_agree,6
maldon district council,council_tax,,consensus_all_agree,6
compassion uk,charitable_donation,,consensus_all_agree,6
skipton building society,financial_institution_unspecified,,consensus_all_agree,6
the five swans,pub_bar,,consensus_all_agree,5
daznbet,gambling_betting,,consensus_all_agree,5
cotswold outdoor,clothing_outdoor,,consensus_all_agree,5
essex & suffolk water,water,,consensus_all_agree,5
wetherspoon,pub_bar,,consensus_all_agree,5
the cornershop,pub_bar,,adjudicated_equifax,5
market cross jewellers,jewellery,,consensus_all_agree,5
topshop,clothing_womens,,adjudicated_llm,5
renfrewshire council,council_tax,,consensus_all_agree,5
price busters,discount_store,,consensus_all_agree,5
twyford news,convenience_store,,adjudicated_equifax,5
east ayrshire council,council_tax,,consensus_all_agree,5
gucci,clothing_general,,consensus_all_agree,5
tasty plaice,takeaway,,adjudicated_llm,5
london borough of camden,council_tax,,consensus_all_agree,5
exeter city council,council_tax,,consensus_all_agree,5
just giving,charitable_donation,,consensus_all_agree,5
haskins garden centres,garden,,consensus_all_agree,5
the right fuelcard,fuel,,consensus_all_agree,5
millwall fc,sports_tickets,,consensus_all_agree,5
wagon and horses,pub_bar,,consensus_all_agree,5
ralph lauren,clothing_general,,consensus_all_agree,5
freetrade,investment_trading,,adjudicated_llm,5
parkjockey,car_parking,,consensus_all_agree,5
yumyum ltd,catering,,adjudicated_equifax,5
animed,pet_supplies,,adjudicated_equifax,5
la porchetta,restaurant_cafe,,consensus_all_agree,5
harvey nichols,department_store,,adjudicated_llm,5
newport city council,council_tax,,consensus_all_agree,5
muddy paws,pet_supplies,,consensus_all_agree,5
bristol zoo,days_out,,consensus_all_agree,5
dorothy perkins,clothing_womens,,consensus_all_agree,5
ibis,accommodation,,consensus_all_agree,5
craft gin club,alcohol_beer_spirits,,adjudicated_llm,5
b bagel bakery bar,restaurant_cafe,,consensus_all_agree,5
lava lounge,night_club,pub_bar,adjudicated_either,5
piccolino,restaurant_cafe,,consensus_all_agree,5
edinburgh city council,council_tax,,consensus_all_agree,5
w boyes & co,department_store,,consensus_all_agree,5
ernest jones,jewellery,,consensus_all_agree,5
the faltering fullback,pub_bar,,consensus_all_agree,5
tinder,online_dating,,consensus_all_agree,5
avis,car_hire,,consensus_all_agree,5
the sheaf,pub_bar,,consensus_all_agree,5
bassetlaw dc,council_tax,,consensus_all_agree,5
poundworld,discount_store,,consensus_all_agree,5
dean taxis,taxi_rideshare,,consensus_all_agree,5
skillz esports,gambling_unspecified,,adjudicated_correction,5
machine mart,tools,,consensus_all_agree,5
wifinity,broadband_tv_phone,,consensus_all_agree,5
iberia,flights,,consensus_all_agree,5
london borough of islington,council_tax,,consensus_all_agree,5
lv insurance,insurance_general,,consensus_all_agree,5
stop n shop ltd,convenience_store,,adjudicated_llm,5
perfect pizza,takeaway,,consensus_all_agree,5
salsa charing cross,restaurant_cafe,,consensus_all_agree,5
better food,groceries,,consensus_all_agree,5
rated people,tradesmen,,adjudicated_llm,5
star pizza,takeaway,,adjudicated_llm,5
eat tokyo,restaurant_cafe,,consensus_all_agree,5
millsons vending,confectionary,,adjudicated_equifax,5
three horseshoes,pub_bar,,consensus_all_agree,5
amnesty international,charitable_donation,,consensus_all_agree,5
metro bank,financial_institution_unspecified,,consensus_all_agree,4
the north face,clothing_outdoor,,adjudicated_llm,4
grosvenor casinos,gambling_casino,,consensus_all_agree,4
the chamberlayne,pub_bar,,consensus_all_agree,4
fonesure,insurance_other,,consensus_all_agree,4
star fish bar,takeaway,,adjudicated_llm,4
copeland borough council,council_tax,,consensus_all_agree,4
findmypast,genealogy_services,,consensus_all_agree,4
countrywide residential,rent,,adjudicated_equifax,4
the diamond store,jewellery,,consensus_all_agree,4
smugglers,pub_bar,,consensus_all_agree,4
glasgow airport,airport_spend,airport_parking,adjudicated_either,4
hillarys,home_accessories,,consensus_all_agree,4
esmale,adult_products,,consensus_all_agree,4
wiggleys fun farm ltd,days_out,,adjudicated_llm,4
beales,department_store,,consensus_all_agree,4
clydesdale bank,financial_institution_unspecified,,consensus_all_agree,4
taste buds,restaurant_cafe,,consensus_all_agree,4
flocafe,restaurant_cafe,,consensus_all_agree,4
mercato metropolitano,restaurant_cafe,,adjudicated_llm,4
vape island,vaping,,consensus_all_agree,4
pho,restaurant_cafe,,consensus_all_agree,4
brent council,council_tax,,consensus_all_agree,4
home retail,home_accessories,,consensus_all_agree,4
swan & castle,pub_bar,,consensus_all_agree,4
voucher express,vouchers,,consensus_all_agree,4
one lottery,gambling_lottery,,consensus_all_agree,4
phoenix taxis,taxi_rideshare,,consensus_all_agree,4
mangopay,payment_intermediary,,consensus_all_agree,4
murco,fuel,,consensus_all_agree,4
guide dogs,charitable_donation,,consensus_all_agree,4
ideal world,retail_tv_online_shopping,,adjudicated_llm,4
lufthansa,flights,,consensus_all_agree,4
hampshire county council,council_tax,,consensus_all_agree,4
videoslots,gambling_casino,,consensus_all_agree,4
bank of scotland,financial_institution_unspecified,,consensus_all_agree,4
calor gas,energy,,adjudicated_equifax,4
village hotels,accommodation,,consensus_all_agree,4
autotrader,advertising_services,,adjudicated_correction,4
electric brixton,live_music,night_club,adjudicated_either,4
virgin experience days,experience_days,,consensus_all_agree,4
barclays mortgages,mortgage,,consensus_all_agree,4
newbury building society,financial_institution_unspecified,,consensus_all_agree,4
oldham council,council_tax,,consensus_all_agree,4
hungry house,takeaway,,consensus_all_agree,4
pro direct sport,sportswear,sports_equipment,adjudicated_either,4
big yellow self storage,storage,,consensus_all_agree,4
deagostini,magazines,,consensus_all_agree,4
pumpkin café,restaurant_cafe,,consensus_all_agree,4
rac,breakdown_cover,,consensus_all_agree,4
naked wines,alcohol_wine,,consensus_all_agree,4
national debt relief,debt_management_plan,,consensus_all_agree,4
benugo,restaurant_cafe,,consensus_all_agree,4
premier man,clothing_mens,,adjudicated_llm,4
lobster pot,restaurant_cafe,,consensus_all_agree,4
west end service station,fuel,,consensus_all_agree,4
the exchequer,pub_bar,,consensus_all_agree,4
betable,gambling_betting,,consensus_all_agree,4
the star of kings,pub_bar,,consensus_all_agree,4
discount booze,alcohol_beer_spirits,,consensus_all_agree,4
ravello coffee co ltd,restaurant_cafe,,consensus_all_agree,4
the orange tree,pub_bar,,adjudicated_llm,4
blue inc,clothing_general,,consensus_all_agree,4
ao retail,electrical_goods,,consensus_all_agree,4
punch bowl,pub_bar,,adjudicated_llm,4
skyparksecure,airport_parking,,consensus_all_agree,4
rentalcars.com,car_hire,,consensus_all_agree,4
patisserie valerie,restaurant_cafe,,consensus_all_agree,4
the hole in the wall,pub_bar,,consensus_all_agree,4
the george & dragon,pub_bar,,consensus_all_agree,4
avg,software,,adjudicated_llm,4
milton keynes council,council_tax,,consensus_all_agree,4
beer hawk,alcohol_beer_spirits,,consensus_all_agree,4
brass monkey,pub_bar,,adjudicated_llm,4
coeliac uk,charitable_donation,,consensus_all_agree,4
ocean holidays,holiday_package,,consensus_all_agree,4
beauty works,skin_hair_care,,adjudicated_equifax,4
birmingham airport,airport_parking,,adjudicated_equifax,4
the hurlingham club,private_members_club,,consensus_all_agree,4
london borough of havering,council_tax,,consensus_all_agree,4
woolwich,mortgage,,adjudicated_equifax,4
