merchant_raw,description_raw,amount,direction,gold_leaf
Quid Market,QuidMarket,73.95,debit,payday_loan
L&L EUROPE,L and L Europe,10.0,debit,gambling_casino
Whitbread,4183 22APR24 CD   WHITBREAD INNS    4101356           SOUTHAMPTON GB,23.2,debit,pub_bar
British Friendly,British Friendly BRITISH FRE SOCY,294.57,credit,income_other_unspecified
Quid Market,STAGEMOUNT LIMITED QDM-APP005931164 MODULO00P210JUV1WG 28AUG23,450.0,credit,loan_disbursement
Moto,Contactless Payment BP MOTO CHIEVELEY APPLEPAY 0856,32.46,debit,fuel
Kindred Group PLC,VISA DIRECT PAYMENT Kindred Group PLC ON 07 SEP CRE,20.0,credit,gambling_unspecified
A G Communications,U4IVMPI3RSCU6LW3XL Account AG Communications,10.0,debit,gambling_casino
"National Union of Rail, Maritime and Transport Workers",RMT SUBSCRIPTIONS,23.4,debit,trade_union
Payless Food Ltd,Payless Food Cash And,2.0,debit,groceries
NatWest Credit Cards,NW PLAT M/C 552213552213******5740,9.0,debit,credit_card_repayment
Credit Fix,CREDITFIX IRELAND ON 01 AUG BCC,132.0,debit,debt_management_plan
L&L EUROPE,L And L Europe,20.0,debit,gambling_casino
Options Management,OPTIONS MANAGEMENT OPTIONS MANAGEMENT LTD,2.7,debit,confectionary
Vivo Stores,Meenaghs Vivo        )))) EndToEndID: NOTPROVIDED,2.99,debit,groceries
Market 4 Harlow Ltd,MARKET 4 HARLOW LT MARKET 4 HARLOW LTD,1.7,debit,groceries
Upton Group Limited,UPTON GROUP LTD  ON 14 NOV CLP,0.8,debit,confectionary
Christmas Bonus,"BANK GIRO CREDIT REF YL495293C DWP XB, ************5893",10.0,credit,benefits_state
Greenwich Borough Council,Royal Greenwich Flex,65.0,credit,benefits_state
PG Group Vending,NYX*PGGroup,1.8,debit,confectionary
Leeds City College,LEEDS CITY COLLEGE Leeds City College,1.95,debit,education_general
Right Price Furniture,Right Price,10.28,debit,home_accessories
Genting Casino,Genting Casino Westcli GENTING CASINO WESTCLI GCL           GBR,10.0,debit,gambling_casino
St Barnabas Hospice,ST BARNABAS HOSPIC,10.0,debit,charitable_donation
Morses Club,MORSES CLUB PLC,30.0,debit,payday_loan
NFU Mutual,NFU MUTUAL  SERVIC,26.73,credit,refund_received
Morses Club,MORSES CLUB PLC,20.0,debit,payday_loan
Megaways Casino,CARD PAYMENT TO MEGAWAYSCASINO.COM ON 20-06-2023,20.0,debit,gambling_casino
Omni Capital,OMNI CAPITAL RF,23.95,debit,retail_finance_repayment
Avanti,AVANTI GAS LTD,1703.69,credit,salary
Winter Wonderland,6394 29DEC24 C    WINTER WONDERLAND 2724              MILTON KEYNES GB,28.0,debit,days_out
My Community Bank,MY COMMUNITY BANK,293.69,debit,credit_union_repayment
Spice of Life,Spice Of Life,18.75,debit,restaurant_cafe
Cymru W Water,DWR CYMRU WELSH WA  5203216201 DDR,39.5,debit,water
Lewisham Plus Credit Union,LEWISHAM PLUS CRED  11713 BGC,100.0,credit,loan_disbursement
Euro Garages,Euro Garages Ltd NYA*Euro Garages Ltd   Aberystwyth   GBR,1.0,debit,convenience_store
RBS,RBS PERSONAL LOAN,269.24,debit,personal_loan_repayment
Vivo Stores,Vivo Woodstock VIVO WOODSTOCK         BELFAST       GBR,2.75,debit,groceries
AWBS,AWBS,37.3,debit,home_improvement
The Slug And Lettuce,SLUG AND LETTUCE S  ON 21 DEC CPM Slug And Lettuce,13.95,debit,pub_bar
Co-op Fuel,CO-OP GROUP PETROL Co-op Petrol,3.76,debit,fuel
Coventry Building Society,CBS NUNEATON           Cbs Nuneaton,6.93,debit,financial_institution_unspecified
SportPursuit Ltd,sportpursuit.com Sportpursuit.com,59.98,debit,clothing_outdoor
West One Loans,WEST ONE SECURED L,75.16,debit,personal_loan_repayment
Lavish,Lavish Life Comps,4.95,debit,prize_competitions
Dream Car Giveaways,4271 17MAR25      DREAM CAR         GIVEAWAYS         WORCESTER GB,1.58,debit,prize_competitions
Madeleine,Withdrawing savings Madeleine Ward,50.0,credit,savings_transfer
Take 5 Vending,NYA*Take 5 Vending NYA*Take 5 Vending Ope,0.6,debit,confectionary
Sendwave,sendwave.com  ON 25 APR BCC,1.2,debit,transfer_international
NatWest Credit Cards,NW MASTERCARD,17.12,debit,credit_card_repayment
Simmons,Michelle Simmons                         wafee,50.0,debit,transfer_p2p
Fluid,FLUID CREDIT CARD,49.28,debit,credit_card_repayment
Feed Me Online,6915 06JUN25      FEED ME ONLINE    LEEDS GB,35.57,debit,takeaway
Five Guys,4512 11JUL24 CD   FIVE GUYS YORK    YORK GB,11.2,debit,restaurant_cafe
Lifestyle Express,Lifestyle Express Lifestyle Express - Marto,2.99,debit,convenience_store
Santander Insurance,"DIRECT DEBIT PAYMENT TO AIL SANTANDER REF MTH953870288, MANDATE NO 0113",17.51,debit,insurance_general
Power Leisure Bookmakers,POWER LEISURE BKMK POWER LEISURE BKMKRS,30.0,debit,gambling_betting
Brodericks,9596 29NOV23 CD   BRODERICK VEND    MANCHESTER GB,1.0,debit,confectionary
Itunes,Apple / iTunes,19.99,debit,software
Bristow & Sutor,BRISTOW AND SUTOR,40.0,debit,debt_enforcement
The Duke's Head,"THE DUKES HEAD (VIA APPLE PAY), ON 02-04-2023",38.2,debit,pub_bar
Quid Market,Visa purchase Quidmarket,34.6,debit,payday_loan
HSBC Personal Loans,HSBC PLC LOANS,313.72,debit,personal_loan_repayment
ITV Hub+,ITV Hub+ from Essentials Pot ITV                    London        GBR,6.0,debit,streaming
Cymru W Water,3852528301 D?r Cymru Welsh Water,64.45,debit,water
Fluid,Direct Debit - First Payment FLUID CREDIT CARD ************2994,103.09,debit,credit_card_repayment
Small Screen Casino,SMALL SCREEN CASINO GB CD 3424,20.01,debit,gambling_casino
Q Park,2184 28NOV22 CD   Q PARK PARK LANE  LONDON GB,8.0,debit,car_parking
Brodericks,Broderick Vend  ON 03 MAR CLP BRODERICK VEND,2.0,debit,confectionary
Best Hotels,BEST WESTERN HOTEL BEST WESTERN HOTELS,4.9,debit,accommodation
London Underground,LUL TICKET MACHINE  ON 22 JUL BCC,10.0,debit,public_transport_rail_coach
Galloways Bakers,CARD PAYMENT TO GALLOWAYS BAKERS ON 04-04-2025,5.15,debit,restaurant_cafe
Jennings Bet,BETTING SHOP SERVI  JENNINGSBET BGC,1543.12,credit,gambling_unspecified
CarFinance 247,247 MONEY GROUP LI,209.77,debit,car_finance_repayment
Bally Casino,BALLYCASINO,45.0,debit,gambling_casino
J D Wetherspoon Plc,Wetherspoon J D WETHERSPOON PLC    Watford       GBR,1.9,debit,pub_bar
Wizard..com,Contactless Payment SQ *WIZARD APPLEPAY 2626 2023-12-31,4.8,debit,unclassified_card_spend
Central Convenience Stores,CENTRAL CONVENIENC  ON 18 NOV CPM,1.0,debit,convenience_store
"Ebony and Ivory, Huddersfield",EBONI and IVORY (G  ON 14 JUN CPM EBONI AND IVORY (GB) L,4.99,debit,beauty_treatment
Motosave,Wilco Motosave MOTOSAVE LTD           GAINSBOROUGH  GBR,10.0,debit,vehicle_maintenance
Shell Energy,Shell Energy SHELL ENERGY BBAND Shell Energy Bband,17.99,debit,broadband_tv_phone
Allpay.net,ALLPAY LIMITED 418  A03797698 DDR Allpay,107.7,debit,payment_intermediary
Close Premium Finance,84462181 Close Brother Premium Finance,79.72,debit,loan_repayment_other
The Eden Project,Eden Project,13.0,debit,days_out
OptiBac,PAYPAL *OPTIBAC  ON 15 SEP BCC,45.04,debit,supplements
Spreadex,Exchanged to SPX,2.0,debit,gambling_betting
Mleczko,CARD PAYMENT TO MLECZKO DELIKATESY LTD ON 26-06-2025,36.34,debit,groceries_specialist
Virgin Phone Insurance,"DIRECT DEBIT PAYMENT TO VIRGINPHONEINS. REF 4000049382, MANDATE NO 0007",14.0,debit,insurance_other
Court Farm Country Par,COURT FARM COUNTRY,3.5,debit,days_out
Dere Mangal,DERE MANGAL       SLOUGH,10.0,debit,restaurant_cafe
Gino S Ice Cre,SumUp *Gino s Ice  ON 09 AUG CLP SUMUP  *GINO S ICE CRE,1.5,debit,restaurant_cafe
W Boyes & Co LTD Newto,W BOYES & CO LTD N,2.25,debit,discount_store
Middlesborough Council,MBROUGH COUNCIL  304340110195 DDR Middlesborough Council,30.0,debit,council_tax
Jake Hepburn,Jake Hepburn,40.0,debit,transfer_p2p
Whitestone Pharmacy,Contactless Payment WHITESTONE PHARMACY,2.99,debit,pharmacy
Mind Met Police Anglingvia,Mind              Met Police AnglingVIA MOBILE - PYMT FP 11/09/25 10    43152344808067000N,450.0,debit,charitable_donation
Louis-mario Jacqu,LOUIS-MARIO JACQU  RENT FT,130.0,debit,rent
Siiri Virtanen Xx,Siiri Virtanen    Xx                VIA MOBILE - PYMT FP 26/07/25 10    19135942180406000N,1.0,debit,transfer_p2p
Fish And Chips On The Cd,Fish and Chips on The CD 3708,7.08,debit,takeaway
Sunnykumar Ramesh,SUNNYKUMAR RAMESH 100000001615129404,100.0,debit,transfer_p2p
Harveys,Harveys Superstore,4.18,debit,convenience_store
Harrington Club,SP HARRINGTON CLUB CD 9626,22.05,debit,private_members_club
Wouroud Assaad,Wouroud Assaad    .,1000.0,debit,transfer_p2p
Vape Chaos Ramsgate,SQ *VAPE CHAOS    Ramsgate,10.0,debit,vaping
The Life Store,Contactless Payment THE LIFE STORE APPLEPAY 5781,15.75,debit,home_accessories
Nicholas Brook Nick,Nicholas Brook    Nick              VIA MOBILE - PYMT FP 16/08/25 10    60120125102071000N,40.0,debit,transfer_p2p
Invoice 2 Go,INVOICE2GO USA ON 26 SEP BCC,7.99,debit,software
Crawley Borough Coun,CRAWLEYBOROUGHCOUNCRAWLEY,8.0,debit,government_services
Huayu Cd,PAYPAL *HUAYU CD 1955,60.78,debit,payment_intermediary
Timber Specialists,Timber Specialists1001/02207887,181.09,debit,home_improvement
Freshwater S Associates LTD,United Kingdom Account - INV-22703 Freshwaters Associates Ltd - SortCodeAccountNumber: 40432681895923,96.0,debit,accountancy
Albies Coffee,"ALBIES COFFEE (VIA APPLE PAY), ON 17-09-2025",3.7,debit,restaurant_cafe
Ven A Banus Business,VEN A BANUS BUSINE SPAIN AMOUNT IN EUR 4.95 ON 05 AUG VISA 1.14353 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.13 VEN A BANUS BUSINESS S,4.46,debit,foreign_spend_unspecified
Buskers Bar,BUSKERS BAR  ON 09 AUG CPM,10.1,debit,pub_bar
Happy Kappa Ta,Happy Kappa Ta,40.0,debit,unclassified_other
Dripmoda,Dripmoda,25.0,debit,clothing_general
Femme Luxe,Femme Luxe,59.99,debit,clothing_womens
West Leisure Limited,WEST LEISURE LIMIT,6.5,debit,pub_bar
Ibrahim Sesay,IBRAHIM SESAY 500000001632768784,50.0,debit,transfer_p2p
Fruit Boy LTD,Fruit Boy LTD,12.0,debit,groceries_specialist
Vpz Wishaw,Vpz Wishaw,37.98,debit,vaping
Burger Avenue Heck,Burger Avenue     Heckmondwike,4.5,debit,takeaway
Viavan,VIAVAN,1.2,debit,taxi_rideshare
Wakefield M.d.c.,Wakefield M.d.c. - Wakefield M.D.C. - SortCodeAccountNumber: 20906593248267,37.0,debit,council_tax
Neelam Beauty Lou,SUMUP  *NEELAM BEA,10.0,debit,beauty_treatment
Chester,CHESTER  ON 19 AUG CPM,14.0,debit,unclassified_other
C Nikepos,8595 16AUG25 C    NIKEPOS_UK        CASTLEFORD GB,39.08,debit,sportswear
Wigley Diy,Wigley DIY Wigley Diy,1.5,debit,home_improvement
Amznwarranty,AMZNWarranty,0.67,debit,insurance_other
Frasers Group Finarb,FRASERS GROUP FINARB2508            TPP TRUELAYER LIMIFP 04/07/25 10    29060453397128000N,42.63,debit,retail_finance_repayment
K D Lomax Gang,K D LOMAX         GANG              VIA MOBILE - PYMT,10.0,debit,transfer_p2p
Sun Taxis Cra,6652 07OCT25 C    SUMUP **SUN TAXIS CRAIGAVON GB,6.2,debit,taxi_rideshare
Simran Jheeta Sim Massage,SIMRAN JHEETA     Sim Massage       VIA MOBILE - PYMT FP 16/07/25 10    42120448371328000N,35.0,debit,beauty_treatment
Miniso Cambridge,Miniso Cambridge,10.99,debit,discount_store
The Clubhouse Stok,FH* THE CLUBHOUSE,81.9,debit,restaurant_cafe
Kls Maintenance Ltloan,KLS MAINTENANCE LTLOAN              VIA MOBILE - PYMT FP 03/09/25 10    28100213263495000N,200.0,debit,loan_repayment_manual
Greenway Fruit,VISA Debit Transaction Zettle_*GREENWAY FRUIT,11.0,debit,groceries_specialist
Albert Food LTD,Sumup  *albert Food Ltd,1.65,debit,convenience_store
Michael Theobald Garag,Michael Theobald Garag,49.0,debit,vehicle_maintenance
The Wax Bar,"THE WAX BAR (VIA APPLE PAY), ON 16-08-2025",46.0,debit,beauty_treatment
Bp Norton Canes Connec,BP NORTON CANES CO  ON 29 AUG CPM BP NORTON CANES CONNEC,160.47,debit,fuel
Funland Amusements,Funland Amusements,10.0,debit,entertainment_other
Hartley Meals,Hartley Meals,12.5,debit,takeaway
C Ad Oriental Food,5934 03OCT25 C    AD ORIENTAL FOOD  LONDON GB,5.61,debit,groceries_specialist
Casey Fisher,CASEY FISHER 200000001594274428,30.0,debit,transfer_p2p
Mere Local Store,"MERE LOCAL STORE ISV P (VIA APPLE PAY), ON 17-07-2025",9.99,debit,convenience_store
Cd Pink Olive Restaurant,3371 05SEP25 CD   PINK OLIVE        RESTAURANT        ANDOVER SP11 GB,21.0,debit,restaurant_cafe
Lisa Popple,LISA POPPLE 400000001611678365,5.0,debit,transfer_p2p
Wokcuisine,WOKCUISINE,17.5,debit,takeaway
Cd The Beach Shack,1737 25AUG25 CD   THE BEACH SHACK   SWANSEA GB,5.0,debit,restaurant_cafe
Lyndhurst Garden Centr,Lyndhurst Garden C  ON 13 AUG CPM LYNDHURST GARDEN CENTR,19.97,debit,garden
New Station Place London,New Station Place London,0.65,debit,unclassified_card_spend
Miss Summer,Miss Summer-rose Jones MISS SUMMER-ROSE J,5.0,debit,transfer_p2p
Skinsgolf,Visa purchase SP SKINSGOLF APPLEPAY 9939,23.98,debit,sportswear
Sandwell Aquatics Centre,SANDWELL AQUATICS,10.0,debit,sports_participation
Ana Rodrigues Gouv,ANA RODRIGUES GOUV 400000001614446771,34.0,debit,transfer_p2p
Dia Mojacar,DIA MOJACAR 20002,26.4,debit,groceries
Transfergalaxy,Transfergalaxy,121.0,debit,transfer_international
Conner Daughter,"MOB, Megan Conner, Daughter",10.0,debit,transfer_p2p
Nvcs Vending,NVCS VENDING  ON 03 AUG CPM,4.5,debit,confectionary
Harry Adams Owe,HARRY ADAMS       OWE               VIA MOBILE - PYMT FP 24/07/25 10    62081439868648000N,5.0,debit,loan_repayment_manual
Cd Kings Mill Hospital,7882 29JUN25 CD   KINGS MILL        HOSPITAL          BIRMINGHAM GB,1.7,debit,restaurant_cafe
Miss Ellie Walker,MISS ELLIE WALKER 400000001641679837,10.0,debit,transfer_p2p
Head Over Heels Wi,Head Over Heels WiCheadle,15.75,debit,days_out
Kids Complex,Kids Complex,43.85,debit,days_out
Mom Owed Ft,MOM  OWED FT,450.0,debit,loan_repayment_manual
Bt Consumer Moto Deposits,BT CONSUMER MOTO D,20.0,debit,broadband_tv_phone
Kaab Muhammad,KAAB MUHAMMAD 600000001592308058,1.0,debit,transfer_p2p
Farmasi,Farmasi/farmasi.co.uk,59.94,debit,health_beauty_general
The Rake,The Rake,12.5,debit,pub_bar
D Lash,D LASH,15.0,debit,beauty_treatment
Teddy's Meat & Poultry,TEDDY'S MEAT & POU  ON 06 AUG CLP TEDDY'S MEAT & POULTRY,2.0,debit,groceries_specialist
M Okowita Rower,M OKOWITA  ROWER FT,220.0,debit,transfer_p2p
Horndean Fish And Chips,Contactless Payment HORNDEAN FISH AND CHIPS,14.15,debit,takeaway
Frasers Group Finans,FRASERS GROUP FINANS3663            TPP TRUELAYER LIMIFP 22/07/25 10    43085346796067000R,48.83,debit,retail_finance_repayment
Oakley Daniell,OAKLEY DANIELL 100000001589026894,20.0,debit,transfer_p2p
Holly Couchman,HOLLY COUCHMAN 200000001586018199,5.0,debit,transfer_p2p
Soho Faro,SOHO FARO,24.15,debit,restaurant_cafe
Jayde Herbert Fuel,Jayde Herbert     Fuel,7.0,debit,transfer_p2p
Island Farm Supermarket,Island Farm Supermarket,2.69,debit,groceries
Jemma Green Jemma,Jemma Green       Jemma             VIA MOBILE - PYMT FP 01/10/25 10    64145210846731000N,13.6,debit,transfer_p2p
Julie Kenny,JULIE KENNY 200000001603191886,40.0,debit,transfer_p2p
Oluwaseun Agboola,OLUWASEUN AGBOOLA 400000001643031454,35.0,debit,transfer_p2p
Cd Emt Valencia Valencia Es Eur,2322 28AUG25 CD   EMT VALENCIA      VALENCIA ES       EUR           2.00VRATE       1.1560,1.73,debit,public_transport_rail_coach
Crosspool,CROSSPOOL,9.5,debit,unclassified_other
Mary Robinson Mrs,Mary Robinson Mrs Mary Robinson,100.0,debit,transfer_p2p
Silchester Cricket Match Mwe,SILCHESTER CRICKET  MATCH MWE 22 JUNE FT,10.0,debit,sports_participation
Smiths Newsagent,SMITHS NEWSAGENT,14.83,debit,convenience_store
Little Lis Pla,SUMUP *LITTLE LIS  ON 07 AUG CPM SUMUP  *LITTLE LIS PLA,22.9,debit,restaurant_cafe
Reality Realestate,REALITY REALESTATE  22 THE PADDOCKS FT,50.0,debit,rent
Bebuyby,BEBUYBY.COM CD 9626,15.98,debit,unclassified_card_spend
Automoney,AUTOMONEY LIMITED 300000001640042455,221.5,debit,car_finance_repayment
Luke Christie,Halifax account - Reaper Luke Christie - SortCodeAccountNumber: 11057811578262,30.0,debit,transfer_p2p
Suphas,SUPHAS,102.25,debit,restaurant_cafe
Andrew Buck,SUMUP  *ANDREW BUC,15.0,debit,unclassified_card_spend
Abiglobal Foods,ABIGLOBAL FOODS  ON 19 OCT CLP,5.99,debit,groceries_specialist
Cd Oasis Tanning Rooms,3444 25SEP25 CD   OASIS TANNING     ROOMS             BIRKENHEAD GB,16.25,debit,beauty_treatment
Cpm Freight Solutiinvo,Cpm freight solutiInvo payment,6910.0,debit,business_services
Mace,Mace Johnstown,6.27,debit,convenience_store
Cd Select Merrys Coffee & Ilford,7895 06JUL25 CD   SELECT MERRYS     COFFEE &          ILFORD GB,6.0,debit,restaurant_cafe
Park Pavilion Cafe,Park Pavilion Cafe,3.15,debit,restaurant_cafe
Hawaii,SQ *HAWAII 50,10.0,debit,unclassified_card_spend
Cd Selmani,8099 27JUN25 CD   SELMANI           WOODFORD GREE GB,22.0,debit,unclassified_other
Fabio Dos Santos,FABIO DOS SANTOS 200000001608228662,10.0,debit,transfer_p2p
Lala Gee,LALA GEE,6.0,debit,restaurant_cafe
Now Db7a5 Gb Ultra,NOW DB7A5 GB Ultra,6.0,debit,streaming
Puffs Limited,Puffs Limited,21.25,debit,unclassified_other
Casky Apt,"CASKY APT RAK BORNE (VIA APPLE PAY), 155.62 MAD RATE 0.0822/GBP, ON 02-09-2025",12.8,debit,foreign_spend_unspecified
The Headland Hotel,THE HEADLAND HOTELNEWQUAY,3.91,debit,accommodation
Vape City Knot,SumUp  *Vape City Knot Sumup *vape City Knot,13.0,debit,vaping
Neat Active LTD,NEAT ACTIVE LTD,100.0,debit,gym_fitness
Tameside Mbc Suspense Account,United Kingdom Account - 17991769 a coates Tameside MBC suspense account - SortCodeAccountNumber: 20050933782840,146.0,debit,council_tax
Lengoart,Visa purchase Etsy.com*LengoArt GOOGLE 4963,4.79,debit,marketplace_general
Stratford Ticket Office,Stratford Ticket Office,39.8,debit,public_transport_rail_coach
Ziggicig,Ziggicig             )))),12.0,debit,vaping
Tib Street Off Licence,TIB STREET OFF LIC,2.9,debit,alcohol_beer_spirits
Colwynbay Convenience Cd,COLWYNBAY CONVENIENCE CD 7147,3.98,debit,convenience_store
Miniscrapbook,SP MINISCRAPBOOK,20.98,debit,arts_crafts
Mother Hubbard S Coven,Mother Hubbard S Coven,2.95,debit,takeaway
John Brenya,JOHN BRENYA 500000001578064228,20.0,debit,transfer_p2p
Mawney Convenience Sto,MAWNEY CONVENIENCE  ON 24 JUN CLP MAWNEY CONVENIENCE STO,15.99,debit,convenience_store
Cd Anthony Reynolds,6320 17JUL25 CD   ANTHONY REYNOLDS  FRUI              RINGWOOD GB,6.0,debit,groceries_specialist
Carolyn Townsley,Payment to CAROLYN TOWNSLEY 110995 10091361 2025-06-29,110.0,debit,transfer_p2p
Rrsquare Bermondsey,RRSQUARE BERMONDSE  ON 25 JUN CPM RRSQUARE BERMONDSEY,6.48,debit,unclassified_other
Grace Stoll Petrol,Grace Stoll       Petrol            VIA MOBILE - PYMT FP 20/08/25 10    41222256161196000N,15.0,debit,transfer_p2p
Leonie Owen,Leonie Owen,65.0,debit,transfer_p2p
Hood,3 B Hood CD 1974,85.0,debit,unclassified_other
Maries Thai,Maries -Thai C,51.7,debit,restaurant_cafe
Hmshost,HMSHost EurotunnelFolkestone,16.0,debit,restaurant_cafe
Little Switzerland Servic,Contactless Payment LITTLE SWITZERLAND SERVIC,13.44,debit,restaurant_cafe
Kristina Rutka,Kristina Rutkauskaite - SortCodeAccountNumber: 23697210142804,20.0,debit,transfer_p2p
Massimos Pizza Co Uk,MASSIMOS PIZZA CO UK Massimos Pizza Co Uk,15.07,debit,takeaway
Justmylook,Visa purchase SP JUSTMYLOOK APPLEPAY 7258,48.46,debit,health_beauty_general
Jack Thomas Baxter,JACK THOMAS BAXTER  JAY FT,60.0,debit,transfer_p2p
Victoria Palace,DINES* VICTORIA PA,16.0,debit,restaurant_cafe
Tst-yalla Beirut,Contactless Payment TST-Yalla Beirut2 APPLEPAY 9469,12.95,debit,restaurant_cafe
Photomatic,Zettle_*PHOTOMATICBRIGHTON,4.0,debit,entertainment_other
Xl Lettings,XL LETTINGS 500000001595102489,1500.0,debit,rent
Ivy Lane Hair Beau,IVY LANE HAIR BEAU,11.55,debit,beauty_treatment
Landscape Filling St,Landscape Filling St,1.7,debit,fuel
Pr Hopkins,PR HOPKINS,7.5,debit,groceries_specialist
Trelewis Minimark,SUMUP  *TRELEWIS M,8.6,debit,convenience_store
Dvla-sc63gzo,DVLA-SC63GZO 000000000063605837,3.06,debit,road_tax
City Hotel,CITY HOTEL,15.3,debit,accommodation
Grampian Steel Service,Grampian Steel Service,858.82,debit,construction_services
Paro Barber LTD,Contactless Payment PARO BARBER LTD APPLEPAY 2800,23.0,debit,beauty_treatment
Sixt Car,Sixt Car 2025-08-1 CD 1233,958.98,debit,car_hire
Lolli,LOLLIPOPSSCHOOLWEA,68.1,debit,clothing_childrens
Cafe Local Pl2,CAFE LOCAL PL2,3.09,debit,restaurant_cafe
Feed Me Online,FEED ME ONLINE,10.3,debit,takeaway
Cd Whites Fish And,3613 29SEP25 CD   WHITES FISH AND   CHIPS             CHARD GB,3.4,debit,takeaway
Mark Dolan,Payment to MARK DOLAN 771915 15801760,229.0,debit,transfer_p2p
Mrl Writhlington Convenie,MRL WRITHLINGTON C,3.29,debit,convenience_store
Teslagear,WWW.TESLAGEAR.CO  ON 29 AUG CPM,15.9,debit,spares_repairs
Power Tool World,POWER TOOL WORLD  ON 21 AUG BDC,335.9,debit,tools
Wifinity LTD London,WIFINITY LTD      LONDON,5.95,debit,broadband_tv_phone
Luka Pj3,Luka Pj3,3.91,debit,unclassified_other
Saxon Weal,ALLPAY *SAXON WEAL,590.0,debit,rent
New Century Chinese Take,NEW CENTURY CHINES,4.1,debit,takeaway
Royal Beauty Hair And,ROYAL BEAUTY  ON 16 JUN CPM ROYAL BEAUTY HAIR AND,11.98,debit,beauty_treatment
Saboerik,PAYPAL *SABOERIK93,21.95,debit,unclassified_other
Roselyne Remigious,ROSELYNE REMIGIOUS 600000001625834324,25.0,debit,transfer_p2p
Mr Kabby,Visa purchase SQ *MR KABBY 2025-09-07,3.0,debit,unclassified_other
Mackim's Health An,SQ *MACKIM'S HEALTH AN Mackim's Health An,23.0,debit,health_beauty_general
Rawmarsh,Famly* Rawmarsh - Fenw,490.0,debit,childcare
Ranees Fish Meat Bazar,Ranees Fish Meat Bazar,2.0,debit,groceries_specialist
Aiden Burrows,AIDEN BURROWS 100000001583953069,100.0,debit,transfer_p2p
Tfac,TFAC,1.8,debit,unclassified_other
Den & Den,DEN & DEN TRAVEL LTD CD 7891,19.99,debit,travel_other
C Nobles Premier Southend-on,8782 27AUG25 C    NOBLES PREMIER    SOUTHEND-ON- GB,9.76,debit,groceries
Park House Hotel,PARK HOUSE HOTEL CD 2195,80.0,debit,accommodation
H M Hm,H M Hm,33.18,debit,unclassified_other
Aylesford Village Shop,AYLESFORD VILLAGE,19.54,debit,convenience_store
Captainscab,PAYPAL *CAPTAINSCA  ON 11 JUL BCC PAYPAL *CAPTAINSCAB,38.99,debit,unclassified_other
Nursing & Midwifery,1000364663 Nursing & Midwifery Council,30.0,debit,government_services
Northernfan,Paypal *northernfan,497.74,debit,unclassified_other
Penllwyn Prem,PPOINT_*PENLLWYN P,10.78,debit,groceries
Saga Services,Direct debit SAGA SERVICES DESI 524142 66700116,62.67,debit,insurance_general
Mobility Ins,MOBILITY INS* SUREBENFLEET  ESS,3.8,debit,insurance_other
Teddy S Frozen Yogurt,TEDDY S FROZEN YOGURT Teddy S Frozen Yogurt,19.75,debit,restaurant_cafe
Rasthof Heiligenroth,Rasthof Heiligenroth,0.88,debit,foreign_spend_unspecified
Bespoke And Tailoring,BESPOKE AND TAILOR  ON 16 JUL CPM BESPOKE AND TAILORING,200.0,debit,clothing_general
Avihats,SP AVIHATS,42.0,debit,clothing_general
Scoresm,4070 05JUN25      SCORESMATTER      02037695383 GB,19.95,debit,credit_reporting_service
Moldretail Group,Moldretail Group L141,36.35,debit,unclassified_other
Tasca Cafe,PENDING TASCA CAFE,13.95,debit,restaurant_cafe
Brighton & Hove Al,BRIGHTON & HOVE AL S25A80193911     7,25.0,debit,sports_tickets
Celtic Camping & B,SQ *CELTIC CAMPING  ON 30 AUG CPM SQ *CELTIC CAMPING & B,20.0,debit,camping_holiday
H&J,PPOINT_*H&J FOOD NHOUNSLOW,2.1,debit,convenience_store
Costa Dorada Tours,COSTA DORADA TOURS,38.06,debit,travel_other
Brooks Models,BROOKS MODELS,21.7,debit,toys
Rugged & Baldy,PENDING SQ *RUGGED & BALDY,3.0,debit,unclassified_other
Nazma Akter,NAZMA AKTER 400000001628096691,100.0,debit,transfer_p2p
Xbm Limited Discdire,XBM LIMITED       DISCDIRE,73.44,debit,printing_supplies
Mayas Eyebrow And Beau,Mayas Eyebrow And Beau,8.0,debit,beauty_treatment
Miss Fozia Begum House,MISS FOZIA BEGUM  HOUSE BILLS FT,550.56,debit,transfer_p2p
Sadat Adam,SADAT ADAM 200000001618065143,15.0,debit,transfer_p2p
Rontec Kingsmead,RONTEC KINGSMEAD,2.0,debit,fuel
The Blackbird,Contactless Payment The Blackbird 2025-08-24,11.5,debit,pub_bar
Cd Spar Stonegate,5581 30AUG25 CD   SPAR STONEGATE    MOVILLA GB,11.44,debit,groceries
Oakingham,Oakingham Belle,18.75,debit,pub_bar
Dasha E Foley,DASHA E FOLEY 100000001592166110,50.0,debit,transfer_p2p
Costbuster LTD,Costbuster LTD,3.0,debit,convenience_store
Supplement Place,SUPPLEMENT PLACE,31.41,debit,supplements
Garmin Europe Li,GARMIN  EUROPE  LI T84Q46.Z10000FU7EH,6.99,debit,online_services
The Magic Cott,8937 01SEP25 C    SUMUP  *THE MAGIC COTT              ABERGAVENNY GB,11.15,debit,charity_shop
Mr David Lamport,MR DAVID LAMPORT 200000001567390992,30.0,debit,transfer_p2p
Bedfont,BEDFONT LANE SERVICE     FELTHAM      GB2025-08-11,20.0,debit,fuel
Star Sports,Star Sports,100.0,debit,gambling_betting
