merchant_raw,description_raw,amount,direction,native_category,gold_leaf,target_leaf
Asg Atlantic Spins,ASG 666casino.com Asg Atlantic Spins,20,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_casino,gambling_unspecified
Cd Mahmoodgha,0118 10SEP25 CD   MAHMOODGHA*       MAHMOODGHA        LEEDS GB,5,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,unclassified_other,gambling_unspecified
,CARD PAYMENT TO LOTTOMART ON 03-09-2025,13.41,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_lottery,gambling_unspecified
,INT'L 0040782513  JACKPOTJOY        WWW.JACKPOTJO,20,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_unspecified
,CARD PAYMENT TO JACKPOTJOY ON 03-07-2025,25,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_unspecified
,To Sky Betting and Gaming - IR1PANQJVJH1K412YJ - SortCodeAccountNumber: 04067800003555,9.14,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
Lucus Live,Lucus Live,6,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,unclassified_other,gambling_unspecified
JONS International Marketplace,INTL CARD WPGTID01 LC INTERNATIONAL L GIBRALTAR       GI ,5,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
,LottoGo                   CD7019,-20,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_lottery,gambling_unspecified
,4498 15AUG25      LIVESCORE BET     GIBRALTAR       GICREDIT,-50,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
,WWW.NCP.CO.UK  ON 22 JUL BCC,14.85,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,car_parking,gambling_unspecified
,VISA DIRECT PAYMENT www MONOPOLYCASINO GIBRALTAR ON 06 SEP CRE,-15.45,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_casino,gambling_unspecified
All Star Prizes,2462 17SEP25  D   ALL STAR PRIZES   LTD               LEEDS GB,1,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,prize_competitions,gambling_unspecified
,To Sky Betting and Gaming - 7SXJDA1DL5YZMD2ODD - SortCodeAccountNumber: 04067800003555,20,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
,"RICHARD WHITE IRISH LOTTERY 00153425632JBJVZSX IRISH LOTTERY,00153425632JBJVZSX",-12,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_lottery,gambling_unspecified
,ET5F8UUXWQMP5OZS5S,23.9,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,unclassified_other,gambling_unspecified
Royal Amman,Royal Amman I,2.94,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,restaurant_cafe,gambling_unspecified
,INT'L 1666751621  www.livescorebet.cGibraltar,15,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
Sklep Spozywczy Marcus,Sklep Spozywczy Marcus,1.39,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,groceries_specialist,gambling_unspecified
,INT'L 0087669828  livescorebet.com  Gibraltar,10,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
,3827 27JUL25 C    WOOLTON VILLAGE   CLUB              LIVERPOOL GB,4.4,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,private_members_club,gambling_unspecified
,INT'L 0074264016  livescorebet.com  Gibraltar,29,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
Rushmoor Bc Rushmoor,Rushmoor Bc Rushmoor Council,197,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,council_tax,gambling_unspecified
Quinnbet,Quinnbet GIBRALTAR ON 02 AUG BCC QUINNBET,100,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_betting,gambling_unspecified
National Windscreens,NATIONAL WINDSCREE  ON 06 AUG CPM NATIONAL WINDSCREENS T,135,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,vehicle_maintenance,gambling_unspecified
Tick Tock Loans,Tick Tock Loans,189.83,debit,DINING_DINING,payday_loan,payday_loan
Moneyboat.co.uk,MONEYBOAT.CO.UK-12  ON 30 SEP BCC MONEYBOAT.CO.UK-120073,60.93,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,payday_loan,payday_loan
Keith,Keith Tawonga Madhara  / ref: Cobblers 9/8,63.25,debit,TRANSFER_OUT_OTHER,transfer_p2p,payday_loan
Unitedkash,UNITEDKASH.COM,10,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,payday_loan,payday_loan
Cashasap.co.uk,cashasap.co.uk,63.25,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,payday_loan,payday_loan
Fast Loan Uk,Visa purchase FAST LOAN UK,73.4,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,payday_loan,payday_loan
United Kash Limite,UNITED KASH LIMITE,20,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,payday_loan,payday_loan
CashASAP,cashasap.co.uk Cashasap,135.28,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,payday_loan,payday_loan
Credit Spring,APAG8MD Credit Spring,50,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,payday_loan,payday_loan
The Cash Shop,Visa purchase THE CASH SHOP APPLEPAY 3158,308.14,debit,TRANSFER_OUT_OTHER,payday_loan,payday_loan
Ticktock Loans Cd,TICKTOCK LOANS CD 7271,105.64,debit,DINING_DINING,payday_loan,payday_loan
,Keith Tawonga Madhara  / ref: Cobblers 12/8,57.5,debit,TRANSFER_OUT_OTHER,transfer_p2p,payday_loan
,Keith Tawonga Madhara  / ref: Cobblers 19/8,57.5,debit,TRANSFER_OUT_OTHER,transfer_p2p,payday_loan
,9836 28JUL25  D   LOQBOX SAVE       BRISTOL GB,20,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
Westmfp,NEWPAY            63OBSSM08HTNLOCEI2WSS6G6K           TPP NATIONAL WESTMFP 15/07/25 10    47205924738431000N,10.79,debit,TRANSFER_OUT_OTHER,revolving_credit_repayment,revolving_credit_repayment
,BILLS to Revolving Line Account,34,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,"LOQBOX SAVE (VIA APPLE PAY), ON 01-07-2025",20,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
,Loqbox Save            0203 633 1005   GB,100,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
,CARD PAYMENT TO LOQBOX SAVE ON 28-08-2025,20,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
Loqbox Grow Cd,LOQBOX GROW CD 5913,15.98,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,"LOQBOX GROW (VIA APPLE PAY), ON 04-07-2025",11.96,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,LOQBOX TRUSTEE    UNLOCK            FP 23/09/25 1648  TRN422359444378963,-500,credit,TRANSFER_IN_OTHER,savings_transfer,revolving_credit_repayment
,FASTER PAYMENTS RECEIPT REF.UNLOCK FROM LOQBOX TRUSTEE,-450,credit,TRANSFER_IN_OTHER,savings_transfer,revolving_credit_repayment
,"LOQBOX TRUSTEE UNLOCK TRN220372743022125 UNLOCK,TRN220372743022125",-30,credit,TRANSFER_IN_OTHER,savings_transfer,revolving_credit_repayment
,"LOQBOX TRUSTEE UNLOCK TRN198169893891037 UNLOCK,TRN198169893891037",-370,credit,TRANSFER_IN_OTHER,savings_transfer,revolving_credit_repayment
,CARD PAYMENT TO LOQBOX SAVE ON 30-07-2025,20,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
,"LOQBOX TRUSTEE UNLOCK TRN935774385956879 UNLOCK,TRN935774385956879",-270,credit,TRANSFER_IN_OTHER,savings_transfer,revolving_credit_repayment
,Loqbox Save LOQBOX,60,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
,CARD PAYMENT TO LOQBOX SAVE ON 31-07-2025,50,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
,CARD PAYMENT TO LOQBOX SAVE ON 28-09-2025,20,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
,CARD PAYMENT TO LOQBOX GROW ON 01-08-2025,34.95,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,CARD PAYMENT TO LOQBOX GROW ON 01-10-2025,24.95,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,0390 01JUL25  D   LOQBOX SAVE       BRISTOL GB,30,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,savings_transfer,revolving_credit_repayment
,Loqbox Grow            Bristol         GB,11.96,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,Loqbox Grow            0203 633 1005   GB,14.95,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,"LOQBOX GROW (VIA APPLE PAY), ON 01-10-2025",12.5,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,"LOQBOX TRUSTEE UNLOCK TRN103345035407513 UNLOCK,TRN103345035407513",-220,credit,TRANSFER_IN_OTHER,savings_transfer,revolving_credit_repayment
,CARD PAYMENT TO LOQBOX GROW ON 01-07-2025,11.96,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,revolving_credit_repayment,revolving_credit_repayment
,Unlock LOQBOX Trustee,-100,credit,INCOME_SALARY,savings_transfer,revolving_credit_repayment
,"PARKERS    16AUG25 SARAHJESSICA BINGO RP4659980075017400 SARAHJESSICA BINGO,RP4659980075017400",-25,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT SunBingo ON 15 AUG CRE,-30,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,3348 08AUG25      MECCABINGO        MAIDENHEAD      GBCREDIT,-50,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
Mirror Bingo,MIRROR BINGO,10,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT SunBingo ON 03 JUL CRE,-320,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,MECCABINGO                VISAXR CD1957 2025-09-23,-170,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,INT'L 0022155945  Bingo Winner      LAS VEGAS,18,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT MECCABINGO ON 07 SEP CRE,-30,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
,PAYMENT FROM HEART BINGO ON 2025-08-12,-260,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT heartbingo GIBRALTAR ON 26 JUL CRE,-80,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT MECCABINGO ON 05 SEP CRE,-5,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
,KITTYBINGO                VISAXR CD8402 2025-09-04,-20,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT Heart Bingo GIBRALTAR ON 29 JUL CRE,-150,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT SunBingo ON 11 JUL CRE,-50,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
Club,CLUB 2000 BINGO,6,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
Playbingoplus,Visa purchase PLAYBINGOPLUS,5,debit,TRANSFER_OUT_OTHER,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT SunBingo ON 23 AUG CRE,-6.1,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,MECCABINGO                CD1957,-50,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT Heart Bingo GIBRALTAR ON 05 AUG CRE,-220,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT MECCABINGO ON 26 SEP CRE,-20,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT butlersbingo.com ON 04 AUG CRE,-13.11,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
,Www Doublebubblebingo Com,-10,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,PAYMENT FROM HEARTBINGO ON 2025-08-02,-50,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
Great Yarmouth Bingo,Contactless Payment GREAT YARMOUTH BINGO APPLEPAY 0502,87,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
North Parade Bingo Clu,NORTH PARADE BINGO  ON 08 AUG CLP NORTH PARADE BINGO CLU,34.48,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,PAYMENT FROM HEART BINGO ON 2025-08-15,-170,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
Wowcher,WOWCHER BINGO     GUERNSEY,10,debit,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,gambling_bingo,gambling_bingo
,PAYMENT FROM MECCABINGO ON 2025-08-22,-100,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
Club Bingo,CLUB 3000 BINGO - BLAC Club Bingo,44,debit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,Visa credit SunBingo,-60,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,"J HARRIS   23AUG25 BINGO J HARRIS 600000001616751517 BINGO J HARRIS,600000001616751517",-10,credit,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT Heart Bingo GIBRALTAR ON 18 AUG CRE,-60,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
C Bingol Kebab & Pizza,1758 20JUL25 C    BINGOL KEBAB &    PIZZA             STEVENAGE GB,13.1,debit,DINING_DINING,takeaway,gambling_bingo
,VISA DIRECT PAYMENT heartbingo GIBRALTAR ON 09 AUG CRE,-10,credit,TRANSFER_IN_OTHER,gambling_bingo,gambling_bingo
,VISA DIRECT PAYMENT Heart Bingo GIBRALTAR ON 24 JUL CRE,-190,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
,PAYMENT FROM HEARTBINGO ON 2025-07-29,-140,credit,INCOME_SALARY,gambling_bingo,gambling_bingo
Lowell On,"LOWELL (VIA GOOGLE PAY), ON 04-08-2025",10,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Trace Debt Recovery Ec,TRACE DEBT RECOVER,40,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Debt,Debt Support Service,183,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_management_plan,debt_collection
Oriel Collections,ORIEL COLLECTIONS A04600703,14.26,debit,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,debt_collection,debt_collection
Debt Recovery Plus Lim,DEBT RECOVERY PLUS  ON 18 AUG BCC DEBT RECOVERY PLUS LIM,25,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Debt & Revenue Service,DEBT & REVENUE SER,27,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Cabot,CABOT,1,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Credit Solutions ,PASTDUE CREDIT SOL  18168374 FT Pastdue Credit Solutions,10,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Dbc Collection,DBC COLLECTION ACC 000000000002002683,24.95,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Tmlegalltd,TMLEGALLTD MWZTVCE,50,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Moorcroft,MOORCROFT,1,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Ccscollect,WWW.CCSCOLLECT.CO.  ON 29 SEP BCC WWW.CCSCOLLECT.CO.UK,411.98,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Intrum Uk Limited,Intrum Uk Limited,20,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Tm Legal,Tm Legal,75,debit,GENERAL_SERVICES_CONSULTING_AND_LEGAL_SERVICES,debt_collection,debt_collection
Moorcroft Group Plc,MOORCROFT GROUP  ON 13 SEP BCC MOORCROFT GROUP PLC,10,debit,INSURANCE_AND_TAX_INSURANCE,debt_collection,debt_collection
Lowell,LOWELL,30,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Intrum Uk Ecom,Visa purchase INTRUM UK ECOM,2,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Overdales Legal Lt,OVERDALES LEGAL LT,2.5,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Arc Europe  Debt Collection,ARC EUROPE LTD,25,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Moorcroft Debtrecoveryt Amcrftgrp,006458844414 Moorcroft Debtrecoveryt/amcrftgrp,14,debit,INSURANCE_AND_TAX_INSURANCE,debt_collection,debt_collection
Cabot Fin Europe,Cabot Fin Europe - SortCodeAccountNumber: 60000140490335,5,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Reliable Collectns,RELIABLE COLLECTNS  249885N0039212 DDR,5,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,debt_collection,debt_collection
Ardentcredit,DEBT & REVENUE SERVICE Ardentcredit,42.6,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Lantern Debt Recov,LANTERN DEBT RECOV,1,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Lowell Solicitors,UK Account - 284054418 Lowell Solicitors - SortCodeAccountNumber: 60000139543749,2,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Ardentcredit.co.uk,ARDENTCREDIT.CO.UK  ON 27 JUN BCC,70.67,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Debt Recovery Plusltd,2650 01OCT25      DEBT RECOVERY PLUSLTD               LONDON GB,20,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Pauline Ryan Nan,Pauline Ryan      Nan - Lowell,160,debit,TRANSFER_OUT_OTHER,debt_collection,debt_collection
Overdales Legal,002800001299412103 Overdales Legal,10,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
NCO Europe Debt Collection,NCO EUROPE LTD,5,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Debt Recovery,Trace Debt Recovery Ec,40,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Overdales Legal Limited,OVERDALES LEGAL LI,8,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Overdales Legal Li,OVERDALES LEGAL LI,30,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Recovery,"TRACE DEBT RECOVERY EC - BARRATT HOUSE  SUITE S2, NORTHAMPTON",20,debit,RENT_AND_UTILITIES_RENT,debt_collection,debt_collection
Intrum Uk Lat,INTRUM UK LAT1460681,25,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Intrum Uk Cs,INTRUM UK  CS/9836157 DDR,5,debit,LOAN_PAYMENTS_OTHER,debt_collection,debt_collection
Debt Collection Se,DEBT COLLECTION SE,5,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
Onecall Debt Recov,ONECALL DEBT RECOV OCDJ00159,9.09,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,debt_collection,debt_collection
,Cash Advance,7,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
YouLend,"BILL PAYMENT VIA FASTER PAYMENT TO YOULEND LIMITED REFERENCE 60254289 COLLINS , MANDATE NO 22",3,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,To Youlend - 6SMED87,13.22,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,To YouLend Limited,25,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,United Kingdom Account - 60113273 Youlend Limited - SortCodeAccountNumber: 60838200021278,50,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,YOULEND            / ref: XC9KGB4,93.79,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,Youlend - SortCodeAccountNumber: 16222410135836,77.79,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,Youlend Limited 60228238,1120,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,Youlend Limited 60278642,80,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
YouLend,YOULEND LTD 500000001639829606,100,debit,LOAN_PAYMENTS_CASH_ADVANCES,cash_advance,cash_advance
Curve,CRV*Curve subscrip  ON 22 JUL BCC CRV*CURVE SUBSCRIPTION,9.99,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,financial_services_other,financial_services_other
Curve,CRV*Curve subscripCRV*,17.99,debit,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,financial_services_other,financial_services_other
Elfin Market,ELFIN MARKET,172.57,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market      BMG99G5P,20,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market      PRQ0008P3BN12SE,4,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market      PRQ0008T0S2N85J,30,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,ELFIN MARKET  ELFIN-MTFBX3ZI7 DDR,0.43,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,ELFIN MARKET  PRQ00096AG0AK29 FT,2080.94,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market - SortCodeAccountNumber: 16222410135836,29.85,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market - SortCodeAccountNumber: 30406500009222,52.15,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,ELFIN MARKET HNV3XZF,66.42,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market PRQ0008F1ZM8ANT,57.45,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market PRQ00091M0G1Z60,175,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market PRQ00095ST47JT0,50,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market PRQ01K45FK775S883G,165.06,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market PRQ01K4CTC9PQZ4V74,75,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
Elfin Market,Elfin Market PRQ01K79HTXA9ZPGK6,161.5,debit,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,financial_services_other,financial_services_other
,Cash Advance,11,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,11.85,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,15,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,25,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,26.35,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,27,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,28.8,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,35,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,35.3,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,45,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,47.5,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,49.1,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,50.5,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,53.5,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,55.7,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,60.5,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,62.04,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,65,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,66.4,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,70,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,77.3,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,79.05,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,90,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,100,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,110,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,130,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,170,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,200,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,240,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
,Cash Advance,300,credit,TRANSFER_IN_CHECKS_AND_ATM,cash_advance,cash_advance
