merchant,n_rows,old_leaf,new_leaf,verdict,suggested_leaf,reason
morr morton park,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
morr newport roger,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
morr norwich,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
morr totton,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
morr west kirby,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
morr whitefield,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
morr willenhall,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
morr wisbech,4,unclassified_other,groceries,keep,,Plaid MORR + UK town is Morrisons truncation; sampled narratives have no petrol/cafe.
oulton road premier st,4,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
pass ran,4,unclassified_other,bicycle,keep,,Lime/Dott/HumanForest ride or pass in the narrative; micromobility is bicycle not taxi.
premier averyhill,4,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
premier high street,4,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
premier penn hill,4,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
premier store cd,4,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
premier woodgreen,4,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
ride 4 qmp,4,taxi_rideshare,bicycle,keep,,Lime/Dott/HumanForest ride or pass in the narrative; micromobility is bicycle not taxi.
wayfairer premier,4,unclassified_other,groceries,keep,,Premier symbol-group grocer (not Inn/Vet); sampled contactless/store narratives.
Focusfinance.co.uk,1,financial_services_other,personal_loan_repayment,revert,,Same £3.99 FOCUSFINANCE.CO.UK DD as the lowercase merchant; not a personal-loan repayment.
