detailed_category,general_category,necessity,cash_flow_type,is_debt_related,is_priority_debt,is_age_restricted,risk_flag,is_recurring_income,equifax_source,plaid_source,notes
charitable_donation,charitable_political_giving,discretionary,spend,false,false,false,none,,primary:Charitable Giving,GOVERNMENTS_AND_NON_PROFIT_DONATIONS ; GENERAL_SERVICES_RELIGIOUS_SERVICES,
charity_shop,charitable_political_giving,discretionary,spend,false,false,false,none,,Charity Shops,,
political_donation,charitable_political_giving,discretionary,spend,false,false,false,none,,Political Parties,,
business_services,business_self_employment,mixed_basket,spend,false,false,false,none,,Business Services ; Contract Services,GENERAL_SERVICES_OTHER_SERVICES,
it_services,business_self_employment,mixed_basket,spend,false,false,false,none,,IT Services,,
accountancy,business_self_employment,mixed_basket,spend,false,false,false,none,,Accountancy,,
legal_services,business_self_employment,mixed_basket,spend,false,false,false,none,,Legal Services,GENERAL_SERVICES_CONSULTING_AND_LEGAL_SERVICES,mixed personal/business use
advertising_services,business_self_employment,mixed_basket,spend,false,false,false,none,,Advertising Services,,
printing_services,business_self_employment,mixed_basket,spend,false,false,false,none,,Printing,,
photography_services,business_self_employment,mixed_basket,spend,false,false,false,none,,Photography Services,,
office_supplies,business_self_employment,mixed_basket,spend,false,false,false,none,,Office Supplies,,
office_equipment,business_self_employment,mixed_basket,spend,false,false,false,none,,Office Equipment ; Office Electricals,,
business_loan_repayment,business_self_employment,essential,debt_repayment,true,false,false,none,,Business Loans,,
trade_union,business_self_employment,mixed_basket,spend,false,false,false,none,,Trade Unions,,
unclassified_recurring,unclassified,mixed_basket,spend,false,false,false,none,,primary:Misc Regular Payments,,TOP PREDICTOR IV 0.1813 and unnamed - highest-value ML target
unclassified_card_spend,unclassified,mixed_basket,spend,false,false,false,none,,primary:Misc Card Spend,,"6.2M txns, 95% prevalence - ML target"
unclassified_transfer,unclassified,mixed_basket,spend,false,false,false,none,,primary:Transfers / Other,TRANSFER_OUT_OTHER ; TRANSFER_IN_OTHER,9.6M txns - largest single bucket
financial_institution_unspecified,unclassified,mixed_basket,spend,false,false,false,none,,Banks And Building Societies,,302k txns; Equifax files mortgage lenders here - needs merchant resolution
services_unspecified,unclassified,mixed_basket,spend,false,false,false,none,,primary:Services ; General,,
adjustment,unclassified,mixed_basket,spend,false,false,false,none,,primary:Adjustments,,
unclassified_other,unclassified,mixed_basket,spend,false,false,false,none,,primary:(null) ; primary:Misc,OTHER_OTHER,
